media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"56","http://www2.arkansasonline.com/","Arkansas Democrat-Gazette ","USA","US-AR","en","United States","print_native","","","85.68","2013-01-14"
"25128","http://www.azcentral.com","AZCentral","USA","US-AZ","en","United States","digital_native","","","169.76","2015-09-14"
"85390","http://blogs.indystar.com/#spider","blogs.indystar.com","USA","US-IN","en","United States","print_native","","","42.46","2017-11-27"
"77168","http://blogs.philly.com/#spider","blogs.philly.com","USA","US-PA","en","","print_native","","","0.0","2013-05-20"
"9","http://www.chicagotribune.com/","Chicago Tribune","USA","US-IL","en","United States","print_native","","","150.16","2011-01-03"
"26590","http://cincinnati.com","cincinnati.com","USA","US-OH","en","United States","digital_native","","","56.24","2015-08-10"
"1641","http://www.cleveland.com/","cleveland.com","USA","US-OH","en","United States","digital_native","","","11.06","2011-01-03"
"8","http://www.nydailynews.com/","Daily News","USA","NY","en","United States","print_native","Public info about ny daily news","","111.79","2011-10-17"
"12","http://www.dallasnews.com/","Dallas Morning News","USA","US-TX","en","United States","print_native","","","6.44","2012-04-23"
"62552","http://elnuevodia.com/","El Nuevo Dia","PRI","","es","Puerto Rico","print_native","","","114.23","2017-10-02"
"20262","http://www.freep.com","freep.com","USA","US-MI","en","United States","print_native","","","55.39","2014-09-15"
"39573","http://www.staradvertiser.com/","HonululuAdvertiser","USA","US-HI","en","United States","print_native","","","64.52","2013-03-11"
"10","http://www.chron.com/","houstonchronicle","USA","US-TX","en","United States","print_native","","","65.06","2015-04-20"
"6","http://www.latimes.com/","LA Times","USA","US-CA","en","United States","print_native","","","485.64","2014-05-05"
"76546","http://media.oregonlive.com/#spider","media.oregonlive.com","USA","US-OR","en","","print_native","","","0.0","2019-01-14"
"36","http://www.jsonline.com/","Milwaukee Journal Sentinel ","USA","US-WI","en","United States","print_native","","","55.27","2015-02-09"
"65422","http://mlive.com/","mlive.com","USA","US-MI","en","United States","digital_native","","","11.21","2013-04-29"
"1","http://nytimes.com","New York Times","USA","NY","en","United States","print_native","","","191.62","2012-06-11"
"13","http://www.newsday.com/","Newsday","USA","US-NY","en","United States","print_native","","","84.2","2015-08-03"
"20120","http://www.nj.com","nj.com","USA","US-NJ","en","United States","digital_native","","","11.16","2013-09-02"
"7","http://www.nypost.com/","NY Post","USA","US-NY","en","United States","print_native","","","704.87","2011-01-17"
"54","http://www.omaha.com/","Omaha World-Herald ","USA","US-NE","en","United States","print_native","","","1.57","2014-11-03"
"79209","http://pilotonline.com/#spider","pilotonline.com","USA","US-VA","en","United States","print_native","","","1.69","2013-05-27"
"45","http://www.post-gazette.com/","Pittsburgh Post-Gazette ","USA","US-PA","en","United States","print_native","","","39.28","2011-01-03"
"33","http://www.mysanantonio.com/","San Antonio Express News","USA","US-TX","en","United States","print_native","","","50.11","2011-01-03"
