media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"147903","http://247sports.com/","247sports.com","USA","","en","United States","digital_native","","","42.83","2018-06-25"
"325070","http://90min.com/","90min.com","","","en","England","","","","40.18","2019-09-23"
"18452","http://www.bgr.com","bgr.com","USA","","en","United States","","","","25.51","2019-09-23"
"24901","http://bleacherreport.com","bleacherreport.com","USA","","en","United States","digital_native","","","266.14","2013-06-10"
"18710","http://www.businessinsider.com","Business Insider","USA","","en","United States","digital_native","","","257.72","2013-06-10"
"98755","http://www.bustle.com/#spider","Bustle","","","en","United States","","","","45.87","2017-11-20"
"6218","http://www.buzzfeed.com","Buzzfeed","USA","","en","none","digital_native","","","107.62","2014-02-10"
"815151","http://buzzfeednews.com/","buzzfeednews.com","","","en","United States","","","","17.84","2016-11-07"
"4415","http://cnet.com","CNET","USA","","en","United States","digital_native","this is a new public note about cnet","","182.7","2012-10-22"
"142830","http://comicbook.com/","comicbook.com","","","en","United States","","","","132.39","2016-05-09"
"22389","http://deadspin.com","Deadspin","USA","","en","United States","digital_native","","","2.09","2013-06-03"
"18380","http://www.digitaltrends.com","digitaltrends.com","USA","","en","United States","","","","27.22","2016-02-22"
"88260","http://eater.com/#spider","eater.com","","","en","United States","","","","5.29","2015-10-26"
"70102","http://elitedaily.com/#spider","elitedaily.com","USA","","en","United States","digital_native","","","35.63","2015-10-12"
"41231","http://www.engadget.com/","engadget","","","en","United States","","","","25.17","2013-03-18"
"4469","http://gizmodo.com","Gizmodo","USA","","en","United States","","","","30.71","2011-10-10"
"24621","http://hollywoodlife.com","hollywoodlife.com","","","en","United States","","","","46.99","2014-07-28"
"27502","http://www.huffingtonpost.com/#","Huffington Post","USA","","en","United States","","","","401.91","2012-09-17"
"67289","http://www.ign.com/#spider","ign.com","","","en","none","","","","52.18","2014-06-16"
"25459","http://www.investopedia.com","investopedia.com","","","en","United States","","","","22.97","2016-03-14"
"35170","https://www.marketwatch.com/","Marketwatch","USA","","en","United States","digital_native","","","88.04","2018-03-19"
"5527","http://mashable.com","Mashable!","USA","","en","United States","digital_native","","","48.18","2012-09-17"
"19466","http://www.maxpreps.com","maxpreps.com","","","en","United States","","","","2.19","2018-12-03"
"18268","https://www.politico.com/","Politico","USA","","en","United States","print_native","","","100.41","2015-08-31"
"69395","http://www.polygon.com/#spider","polygon.com","","","en","United States","","","","16.24","2015-09-14"
"104698","http://www.refinery29.com","Refinery29","","","en","United States","","","","20.5","2014-05-26"
"67737","http://www.sbnation.com/#spider","SB Nation","USA","","en","United States","digital_native","","","28.73","2013-06-10"
"19643","http://www.slate.com","Slate.com","USA","","en","United States","digital_native","","","23.38","2014-07-21"
"22116","http://www.techradar.com","techradar.com","GBR","","en","none","","","","44.38","2016-07-11"
"1707","http://www.thedailybeast.com/","The Daily Beast","USA","","en","United States","digital_native","","","41.23","2012-04-30"
"107634","http://theverge.com/","The Verge","USA","","en","United States","","","","30.04","2015-03-30"
"368082","http://theroot.com/","theroot.com","USA","","en","United States","digital_native","","","18.79","2017-05-01"
"287512","http://thisisinsider.com/","thisisinsider.com","","","en","United States","","","","92.67","2019-09-23"
"140484","http://thrillist.com/","thrillist.com","","","en","United States","","","","0.32","2012-04-30"
"56051","http://tmz.com/","TMZ","USA","","en","United States","digital_native","","","29.74","2013-05-06"
"68816","http://www.uproxx.com/#spider","uproxx.com","","","en","United States","","","","52.08","2015-09-14"
"104828","http://www.vox.com","Vox","USA","","en","United States","digital_native","","","58.8","2014-08-04"
