media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"311868","http://1025wfla.iheart.com/","1025wfla.iheart.com","USA","US-FL","en","United States","video_broadcast","","","0.2","2017-03-27"
"564329","http://1230thezone.iheart.com/","1230thezone.iheart.com","USA","US-FL","en","","video_broadcast","","","0.02","2017-03-27"
"309178","http://970wfla.iheart.com/","970wfla.iheart.com","USA","US-FL","en","United States","video_broadcast","","","0.22","2017-03-27"
"24693","http://www.abc-7.com","abc-7.com","USA","US-FL","en","United States","video_broadcast","","","1.8","2017-02-20"
"23363","http://www.abcactionnews.com","abcactionnews.com","USA","US-FL","en","United States","video_broadcast","","","3.99","2016-12-05"
"659920","http://www.accentontampabay.com/","Accent on Tampa Bay","USA","US-FL","en","","video_broadcast","","","0.0","2017-12-04"
"24978","http://www.actionnewsjax.com","actionnewsjax.com","USA","US-FL","en","United States","video_broadcast","","","1.47","2017-01-02"
"659874","http://www.aldiatoday.com/indexen.php","Al Dia Today (English)","USA","US-FL","en","United States","print_native","","","0.06","2017-12-11"
"659875","http://www.aldiatoday.com/","Al Dia Today (Spanish)","USA","US-FL","none","United States","print_native","","","0.06","2017-08-07"
"659747","http://www.alachuatoday.com/","Alachua County Today","USA","US-FL","en","","print_native","","","0.02","2019-08-26"
"163817","http://alligator.org/","alligator.org","USA","US-FL","en","United States","print_native","","","0.47","2011-10-10"
"287671","http://americateve.com/","americateve.com","USA","US-FL","es","United States","video_broadcast","","","68.67","2017-01-09"
"591227","http://amisun.com/","amisun.com","USA","US-FL","en","United States","print_native","","","0.0","2017-12-04"
"418978","http://apalachtimes.com/","apalachtimes.com","USA","US-FL","en","United States","print_native","","","28.01","2017-12-04"
"659748","http://www.yoursun.com/csp/cms/sites/SunNews/DeSoto/index.csp","Arcadian","USA","US-FL","en","","print_native","","","0.01","2015-11-30"
"112667","http://aroundosceola.com/","aroundosceola.com","USA","US-FL","en","United States","print_native","","","0.01","2017-12-04"
"659749","http://www.southfloridasun.net/980800.html","Aventura Digest","USA","US-FL","en","","print_native","","","0.0","2017-12-04"
"659750","http://www.communitynewspapers.com/aventura/","Aventura News","USA","US-FL","en","United States","print_native","","","9.58","2017-12-11"
"659867","http://www.axismag.com/","Axis Magazine","USA","US-FL","en","","print_native","","","0.0","2017-12-04"
"659844","http://www.bakercountypress.com/","Baker County Press","USA","US-FL","en","United States","print_native","","","1.08","2017-11-27"
"868262","http://www.ballingerpublishing.com/","Ballinger Publishing","","","en","United States","","","","0.54","2018-07-02"
"659878","http://baycommunitynews.com/","Bay Community News","USA","US-FL","","","print_native","","","0.0","2017-10-16"
"25893","http://www.baynews9.com","baynews9.com","USA","US-FL","en","United States","print_native","","","64.61","2013-06-24"
"659777","http://thebeachsideresident.com/","Beachside Resident","USA","US-FL","en","United States","print_native","","","0.4","2018-07-09"
"100435","http://www.beacononlinenews.com/#spider","beacononlinenews.com","USA","US-FL","en","United States","print_native","","","0.02","2017-12-04"
"659857","http://www.communitynewspapers.com/biscayne/","Biscayne Bay Tribune","USA","US-FL","en","United States","print_native","","","8.86","2017-12-11"
"1337","http://biscaynetimes.com/","biscayne times online","USA","US-FL","en","United States","print_native","","","0.06","2011-01-03"
"80391","http://blogs.browardpalmbeach.com/#spider","blogs.browardpalmbeach.com","USA","US-FL","en","United States","print_native","","","1.89","2018-01-08"
"659755","http://www.bocabeacon.com/","Boca Beacon","USA","US-FL","en","United States","print_native","","","1.56","2017-11-27"
"659757","http://www.sun-sentinel.com/news/palm-beach/boca-raton/","Boca Raton Forum","USA","US-FL","en","United States","print_native","","","70.11","2019-12-02"
"1338","http://www.bocanews.com/","boca raton news","USA","US-FL","en","United States","digital_native","","","0.0","2016-08-15"
"589512","http://bocamag.com/","bocamag.com","USA","US-FL","en","United States","print_native","","","2.67","2016-12-12"
"659759","http://www.sun-sentinel.com/news/palm-beach/boynton-beach/","Boynton Forum","USA","US-FL","en","United States","print_native","","","69.48","2019-12-02"
"26212","http://www.bradenton.com","bradenton.com","USA","US-FL","en","United States","print_native","","","127.81","2017-12-04"
"649925","http://www.ballingerpublishing.com/publications/business-climate/","Business Climate","USA","US-FL","en","","print_native","","","0.0","2012-10-01"
"308641","http://businessobserverfl.com/","businessobserverfl.com","USA","US-FL","en","United States","print_native","","","5.03","2018-08-06"
"659761","http://www.cljnews.com/","Calhoun Liberty Journal","USA","US-FL","en","United States","print_native","","","0.1","2018-08-06"
"287909","http://cape-coral-daily-breeze.com/","cape-coral-daily-breeze.com","USA","US-FL","en","United States","print_native","","","1.17","2018-08-13"
