media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"93343","http://www.4029tv.com/#spider","4029tv.com","USA","US-AR","en","United States","video_broadcast","","","43.49","2017-12-04"
"109518","http://5newsonline.com/","5newsonline.com","USA","US-AR","en","United States","video_broadcast","","","7.6","2017-12-04"
"659114","http://www.aboutrvmag.com/","About the River Valley","USA","US-AR","en","United States","print_native","","","0.22","2017-10-30"
"179148","http://advocate.jbu.edu/","advocate.jbu.edu","USA","US-AR","en","United States","print_native","","","0.5","2017-11-06"
"659093","http://www.amigonews.com/","Amigo","USA","US-AR","es","","print_native","","","0.0","2017-12-04"
"529843","http://areawidenews.com/","areawidenews.com","USA","US-AR","en","","print_native","","","0.0","2012-03-19"
"659115","http://thearkatechnews.com/","Arka Tech","USA","US-AR","en","","print_native","","","0.0","2018-01-29"
"56","http://www2.arkansasonline.com/","Arkansas Democrat-Gazette ","USA","US-AR","en","United States","print_native","","","89.1","2013-01-14"
"659072","http://www.arkansasweekly.com/","Arkansas Weekly","USA","US-AR","en","","print_native","","","0.0","2017-07-17"
"150299","http://arkansas-catholic.org/","arkansas-catholic.org","USA","US-AR","en","United States","print_native","","","1.36","2017-11-20"
"339840","http://arkansas.statenews.net/","arkansas.statenews.net","USA","US-AR","en","United States","digital_native","","","46.61","2018-05-07"
"68136","http://www.arkansasbusiness.com/#spider","arkansasbusiness.com","USA","US-AR","en","United States","print_native","","","8.63","2017-11-27"
"148402","http://arkansasleader.com/","arkansasleader.com","USA","US-AR","en","United States","print_native","","","2.56","2013-05-20"
"25204","http://arkansasmatters.com","arkansasmatters.com","USA","US-AR","en","United States","video_broadcast","","","26.21","2019-08-26"
"29774","http://arkansasnews.com#spider","arkansasnews.com","USA","US-AR","en","United States","digital_native","","","30.6","2017-02-13"
"77657","http://www.arktimes.com/#spider","arktimes.com","USA","US-AR","en","United States","print_native","","","11.94","2014-05-05"
"659089","http://www.ashleycountyledger.com/","Ashley County Ledger","USA","US-AR","en","","print_native","","","0.01","2016-12-12"
"645825","http://astateherald.com/","astateherald.com","USA","US-AR","en","United States","print_native","","","0.0","2015-02-23"
"78911","http://www.baxterbulletin.com/#spider","baxterbulletin.com","USA","US-AR","en","United States","print_native","","","8.08","2017-12-04"
"542733","http://bentoncourier.com/","bentoncourier.com","USA","US-AR","en","United States","print_native","","","0.01","2017-12-04"
"659116","http://thelink.harding.edu/the-bison","Bison","USA","US-AR","en","United States","print_native","","","2.06","2017-11-13"
"659075","http://www.couriernews.net/","Blytheville Courier News","USA","US-AR","en","","print_native","","","0.0","2015-06-22"
"648750","http://www.boonevilledemocrat.com","Booneville Democrat: Local & World News, Sports & Entertainment in Booneville, AR","USA","US-AR","en","United States","print_native","","","25.92","2017-11-20"
"659104","http://www.thebray.com/","Bray","USA","US-AR","en","","print_native","","","0.0","2017-12-04"
"659076","http://www.bryantdaily.com/","Bryant Daily","USA","US-AR","en","United States","digital_native","","","0.83","2017-12-04"
"649421","http://www.lonokenews.net/cabot-star-herald","Cabot Star-Herald - Lonoke News","USA","US-AR","en","United States","print_native","","","44.93","2017-11-27"
"648754","http://www.camdenarknews.com","Camden News - Homepage","USA","US-AR","en","","print_native","","","0.01","2017-11-20"
"649422","http://www.lonokenews.net/carlisle-independent","Carlisle Independent - Lonoke News","USA","US-AR","en","United States","print_native","","","44.69","2017-11-27"
"542172","http://carrollconews.com/","carrollconews.com","USA","US-AR","en","","print_native","","","0.0","2012-12-31"
"648757","http://www.charlestonexpress.com","Charleston Express: Local & World News, Sports & Entertainment in Greenwood, AR","USA","US-AR","en","United States","print_native","","","20.68","2017-11-20"
"648764","http://www.claycountyliving.com","Clay County Courier","USA","US-AR","en","United States","print_native","","","0.11","2017-11-20"
"648763","http://www.claycountydemocrat.com","Clay County Times-Democrat","USA","US-AR","en","","print_native","","","0.0","2017-11-27"
"648766","http://www.clevelandcountyherald.com/","Cleveland County Herald – Your County Newspaper Since 1888","USA","US-AR","en","United States","print_native","","","1.4","2017-11-20"
"659101","http://www.lrafbdropzone.com/","Combat Airlifter","USA","US-AR","en","","print_native","","","0.0","2017-12-04"
"108573","http://couriernews.com/","couriernews.com","USA","US-AR","en","United States","print_native","","","0.0","2018-08-13"
"659117","http://www.thedailycitizen.com/","Daily Citizen - United States - Arkansas","USA","US-AR","en","","print_native","","","0.02","2018-01-29"
"659096","https://www.dailyrecord.us/","Daily Record - United States - Arkansas","USA","US-AR","en","","print_native","","","0.0","2018-03-05"
"648774","http://www.dewitt-ee.com","Dewitt Era-Enterprise Online","USA","US-AR","en","","print_native","","","0.0","2018-06-11"
"659081","https://www.dewitt-ee.com/","DeWitt Era-Enterprise, DeWitt Arkansas","USA","US-AR","en","United States","print_native","","","0.0","2018-06-18"
"656820","http://www.ellatinoarkansas.com/","El Latino - United States - Arkansas","USA","US-AR","es","","print_native","","","0.01","2018-04-23"
"538245","http://eldoradonews.com/","eldoradonews.com","USA","US-AR","en","","print_native","","","0.11","2016-07-18"
"659085","http://www.efortsmith.com/","Entertainment Fort Smith","USA","US-AR","en","","print_native","","","0.0","2018-02-05"
"648778","http://www.eurekaspringsindependent.com","Eureka Springs Independent","USA","US-AR","en","United States","print_native","","","1.33","2017-11-20"
"649902","http://www.nwaonline.com/metro/fayetteville/","Fayetteville","USA","US-AR","en","","print_native","","","0.0","2018-05-07"
"29787","http://www.fox16.com#spider","fox16.com","USA","US-AR","en","United States","video_broadcast","","","23.82","2019-08-26"
"659083","http://www.freeweekly.com/","Free Weekly","USA","US-AR","en","United States","print_native","","","1.41","2017-11-27"
"648787","http://www.greenwooddemocrat.com","Greenwood Democrat: Local & World News, Sports & Entertainment in Greenwood, AR","USA","US-AR","en","United States","print_native","","","20.29","2017-11-20"
"540600","http://guardonline.com/","guardonline.com","USA","US-AR","en","United States","print_native","","","0.0","2018-01-29"
"318138","http://harrisondaily.com/","harrisondaily.com","USA","US-AR","en","","print_native","","","0.03","2012-07-09"
"152786","http://helena-arkansas.com/","helena-arkansas.com","USA","US-AR","en","United States","print_native","","","18.99","2017-11-27"
"659120","http://hl.nwaonline.com/","Herald Leader - United States - Arkansas","USA","US-AR","en","United States","print_native","","","5.28","2018-11-05"
"286865","http://hola-arkansas.com","hola arkansas","USA","US-AR","es","United States","print_native","","","0.19","2020-02-10"
"134695","http://hopestar.com/","hopestar.com","USA","US-AR","en","United States","print_native","","","23.58","2017-12-04"
"223903","http://hotsr.com/","hotsr.com","USA","US-AR","en","United States","print_native","","","0.14","2016-10-10"
"606896","http://hsuoracle.com/","hsuoracle.com","USA","US-AR","en","United States","print_native","","","0.96","2017-12-04"
"649903","http://hometowntv.net/","http://hometowntv.net/","USA","US-AR","en","","video_broadcast","","","0.0","2018-02-05"
