media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"661784","http://www.417mag.com/","417 Magazine","USA","US-MO","en","United States","print_native","","","0.01","2017-12-04"
"146378","http://abc17news.com/","abc17news.com","USA","US-MO","en","United States","video_broadcast","","","1.01","2017-03-20"
"661686","http://www.adrianjournal.com/","Adrian Journal","USA","US-MO","en","","print_native","","","0.0","2017-12-18"
"661687","http://www.altonadvertiser.com/","Alton Advertiser","USA","US-MO","en","United States","print_native","","","0.11","2017-11-06"
"529843","http://areawidenews.com/","areawidenews.com","USA","US-AR","en","","print_native","","","0.0","2012-03-19"
"661688","http://www.auroraadvertiser.net/","Aurora Advertiser","USA","US-MO","en","United States","print_native","","","34.0","2017-12-04"
"661705","http://www.4bcaonline.com/","Barry County Advertiser","USA","US-MO","en","","print_native","","","0.01","2018-04-09"
"661806","http://www.bentoncountyenterprise.com/","Benton County Enterprise","USA","US-MO","en","United States","print_native","","","1.04","2017-11-27"
"387007","http://bethanyclipper.com/","bethanyclipper.com","USA","US-MO","en","United States","print_native","","","1.53","2017-12-11"
"26563","http://blogs.news-leader.com","blogs.news-leader.com","USA","US-MO","en","United States","print_native","","","14.73","2018-08-20"
"332540","http://bolivarmonews.com/","bolivarmonews.com","USA","US-MO","en","","print_native","","","0.02","2011-04-04"
"660156","http://www.bocojo.com/","Boone County Journal - United States - Missouri","USA","US-MO","en","United States","print_native","","","0.83","2017-12-04"
"661694","http://www.boonvilledailynews.com/","Boonville Daily News","USA","US-MO","en","United States","print_native","","","15.59","2017-12-11"
"182360","http://bowlinggreentimes.com/","bowlinggreentimes.com","USA","US-MO","en","","print_native","","","0.04","2014-06-23"
"318704","http://bransontrilakesnews.com/","bransontrilakesnews.com","USA","US-MO","en","United States","print_native","","","0.33","2017-08-28"
"661698","http://buffaloreflex.com/","Buffalo Reflex","USA","US-MO","en","","print_native","","","0.0","2018-01-15"
"661700","http://www.thecaboolenterprise.com/","Cabool Enterprise","USA","US-MO","en","United States","print_native","","","1.23","2018-08-27"
"661733","http://www.mycaldwellcounty.com/","Caldwell County News","USA","US-MO","en","United States","print_native","","","0.67","2017-12-04"
"661701","http://www.californiademocrat.com/","California Democrat","USA","US-MO","en","","print_native","","","0.08","2018-02-26"
"1247","http://www.callnewspapers.com/","call newspapers","USA","US-MO","en","United States","print_native","","","2.83","2015-09-14"
"661704","http://www.carthagepress.com/","Carthage Press","USA","US-MO","en","United States","print_native","","","14.74","2017-12-18"
"661735","http://www.thecash-book.com/","Cash Book Journal","USA","US-MO","en","United States","print_native","","","0.0","2017-12-04"
"112563","http://cassville-democrat.com/","cassville-democrat.com","USA","US-MO","en","","print_native","","","0.04","2012-03-19"
"195037","http://catholickey.org/","catholickey.org","USA","US-MO","en","United States","print_native","","","0.38","2017-12-04"
"318442","http://ccheadliner.com/","ccheadliner.com","USA","US-MO","en","","print_native","","","0.03","2015-05-25"
"204999","http://cedarrepublican.com/","cedarrepublican.com","USA","US-MO","en","","print_native","","","0.02","2011-12-26"
"661706","http://www.firesideguard.com/","Centralia Fireside Guard","USA","US-MO","en","","print_native","","","0.0","2017-12-04"
"661739","http://www.thechartonline.com/","Chart","USA","US-MO","en","","print_native","","","0.01","2019-08-26"
"321364","http://chillicothenews.com/","chillicothenews.com","USA","US-MO","en","United States","print_native","","","85.97","2017-12-04"
"331336","http://clintoncountyleader.com/","clintoncountyleader.com","USA","US-MO","en","United States","print_native","","","0.47","2015-08-17"
"661710","http://www.iclassifiedsnetwork.com/51857/2218/cole-camp-courierpdf","Cole Camp Courier","USA","US-MO","en","","print_native","","","0.0","2017-12-04"
"85925","http://www.columbiamissourian.com/#spider","columbiamissourian.com","USA","US-MO","en","United States","print_native","","","0.69","2014-12-01"
"27134","http://www.columbiatribune.com","columbiatribune.com","USA","US-MO","en","United States","print_native","","","19.84","2017-12-11"
"661777","http://info.darnews.com/","Daily American Republic","USA","US-MO","en","","print_native","","","0.0","2018-11-19"
"74163","http://dailyjournalonline.com/#spider","dailyjournalonline.com","USA","US-MO","en","United States","print_native","","","0.11","2014-04-21"
"207036","http://dailystarjournal.com/","dailystarjournal.com","USA","US-MO","en","United States","print_native","","","0.2","2014-10-06"
"159971","http://dddnews.com/","dddnews.com","USA","US-MO","en","","print_native","","","0.0","2011-04-25"
"318486","http://demo-mo.com/","demo-mo.com","USA","US-MO","en","United States","print_native","","","0.11","2017-11-20"
"661723","http://dailyjournalonline.com/democrat-news/","Democrat News","USA","US-MO","en","United States","print_native","","","4.72","2018-11-26"
"309429","http://digitalburg.com/","digitalburg.com","USA","US-MO","en","","digital_native","","","0.0","2016-11-07"
"661713","http://www.dixonpilot.com/v2/content.aspx?IsHome=1&MemberID=2176&ID=41546","Dixon Pilot","USA","US-MO","en","","print_native","","","0.73","2019-05-13"
"362133","http://dosmundos.com/","dosmundos.com","USA","US-MO","es","United States","print_native","","","1.08","2017-12-04"
"661689","http://douglascountyherald.com/","Douglas County Herald","USA","US-MO","en","United States","print_native","","","1.72","2017-11-27"
"661786","http://drurymirror.org/","Drury Mirror","USA","US-MO","en","United States","print_native","","","0.56","2017-11-27"
"661715","http://www.enterprisecourier.com/5894/1596/1/the-enterprise-courierpdf","East Prairie Eagle","USA","US-MO","en","","print_native","","","0.0","2016-05-02"
"659603","http://www.elhispanostl.com/","El Hispano - United States - Missouri","USA","US-MO","en","none","print_native","","","39.23","2016-10-31"
"661716","http://www.vernonpublishing.com/Advertiser/Main/","Eldon Advertiser","USA","US-MO","en","United States","print_native","","","0.0","2017-12-11"
"661718","http://www.elsberrydemocrat.com/","Elsberry Democrat","USA","US-MO","en","United States","print_native","","","0.13","2018-09-10"
"170704","http://emissourian.com/","emissourian.com","USA","US-MO","en","","print_native","","","0.0","2012-06-11"
"661707","http://www.enterprisecourier.com/v2/content.aspx?IsHome=1&MemberID=1596&ID=5894","Enterprise Courier","USA","US-MO","en","","print_native","","","0.0","2016-05-02"
"133333","http://examiner.net/","examiner.net","USA","US-MO","en","United States","print_native","","","16.38","2017-12-04"
"661720","http://www.excelsiorspringsstandard.com/","Excelsior Springs Standard","USA","US-MO","en","United States","print_native","","","0.0","2017-12-04"
"661721","http://dailyjournalonline.com/farmington-press/","Farmington Press","USA","US-MO","en","United States","print_native","","","0.46","2018-08-20"
"176700","http://flovalleynews.com/","flovalleynews.com","USA","US-MO","en","United States","print_native","","","0.0","2017-12-04"
"224953","http://fourstateshomepage.com/","fourstateshomepage.com","USA","US-MO","en","United States","video_broadcast","","","28.63","2019-12-02"
"54281","http://www.fox14tv.com/#spider","fox14tv.com","USA","US-MO","en","","video_broadcast","","","0.0","2012-09-10"
"34360","http://fox2now.com#spider","fox2now.com","USA","US-MO","en","United States","video_broadcast","","","35.39","2017-12-04"
"92482","http://fox4kc.com/#spider","fox4kc.com","USA","US-MO","en","United States","video_broadcast","","","19.27","2017-12-04"
"329087","http://fox5krbk.com/","fox5krbk.com","USA","US-MO","en","United States","video_broadcast","","","27.37","2019-12-02"
"537338","http://fultonsun.com/","fultonsun.com","USA","US-MO","en","","print_native","","","0.02","2016-05-09"
"661725","http://gallatinnorthmissourian.com/","Gallatin North Missourian","USA","US-MO","en","United States","print_native","","","1.08","2017-12-18"
"301544","http://gasconadecountyrepublican.com/","gasconadecountyrepublican.com","USA","US-MO","en","","print_native","","","0.01","2016-02-22"
"661728","http://www.gladstonedispatch.com/","Gladstone Dispatch","USA","US-MO","en","United States","print_native","","","0.04","2015-03-02"
"661729","http://www.iclassifiedsnetwork.com/v2/content.aspx?ID=51858&MemberID=2218","Glasgow Missourian","USA","US-MO","en","","print_native","","","0.0","2017-12-04"
"661791","http://www.thegriffonnews.com/","Griffon News","USA","US-MO","en","United States","print_native","","","0.0","2017-02-20"
"661722","http://www.myguidon.com/","Guidon - United States - Missouri","USA","US-MO","en","United States","print_native","","","1.61","2018-08-27"
"165202","http://hannibal.net/","hannibal.net","USA","US-MO","en","United States","print_native","","","0.02","2017-12-11"
"661734","http://www.hermannadvertisercourier.com/","Hermann Advertiser Courier","USA","US-MO","en","United States","print_native","","","0.13","2018-05-14"
"661752","http://www.vernonpublishing.com/Beacon/Main/","Highway Five Beacon","USA","US-MO","en","none","print_native","","","0.0","2017-12-11"
"661748","http://maconhomepress.com/","Home Press","USA","US-MO","en","","print_native","","","0.01","2017-12-25"
"315680","http://houstonherald.com/","houstonherald.com","USA","US-MO","en","United States","print_native","","","0.14","2015-03-09"
"661807","http://www.howellcountynews.com/","Howell County News","USA","US-MO","en","United States","print_native","","","0.0","2015-05-18"
"649985","http://www.fayettenewspapers.com/v2/content.aspx?IsHome=1&MemberID=1664&ID=10460","https://www.fayettenewspapers.com","USA","US-MO","en","United States","print_native","","","0.63","2017-12-04"
"655434","http://www.vernonpublishing.com/Index/Main/","Index - United States (Hermitage)","USA","US-MO","en","United States","print_native","","","0.0","2017-12-04"
"27109","http://www.infozine.com","infozine.com","USA","US-MO","en","United States","digital_native","","","0.0","2017-11-27"
"661731","http://jcadvocate.blogspot.com/","Jackson County Advocate","USA","US-MO","en","","print_native","","","0.11","2017-04-03"
"1250","http://www.newstribune.com/","jefferson city news-tribune","USA","US-MO","en","United States","print_native","","","0.38","2015-09-14"
"113415","http://joplinglobe.com/","joplinglobe.com","USA","US-MO","en","United States","print_native","","","0.21","2011-07-04"
"661692","http://www.northwestmoinfo.com/","KAAN","USA","US-MO","en","United States","video_broadcast","","","15.42","2017-12-04"
"661741","http://www.bizjournals.com/kansascity/","Kansas City Business Journal","USA","US-MO","en","United States","print_native","","","256.07","2017-12-04"
"661742","http://www.kchispanicnews.com/","Kansas City Hispanic News","USA","US-MO","es","","print_native","","","0.0","2018-07-02"
"661743","http://www.kcjc.com/","Kansas City Jewish Chronicle","USA","US-MO","en","United States","print_native","","","0.37","2017-10-23"
"661709","http://www.kchi.com/","KCHI","USA","US-MO","en","United States","video_broadcast","","","7.21","2018-09-10"
"24686","http://www.kctv5.com","kctv5.com","USA","US-MO","en","United States","video_broadcast","","","0.91","2014-08-11"
"79177","http://www.kcur.org/#spider","kcur.org","USA","US-MO","en","United States","video_broadcast","","","29.61","2017-12-04"
"661711","http://www.kfru.com/","KFRU","USA","US-MO","en","","video_broadcast","","","0.0","2016-06-27"
"1284","http://971talk.com/","kftk","USA","US-MO","en","United States","video_broadcast","","","0.0","2013-12-30"
"88897","http://www.kfvs12.com/#spider","kfvs12.com","USA","US-MO","en","United States","video_broadcast","","","0.68","2015-10-12"
"313023","http://kirksvilledailyexpress.com/","kirksvilledailyexpress.com","USA","US-MO","en","United States","print_native","","","37.57","2017-12-04"
"661690","http://www.kkoz.com/","KKOZ","USA","US-MO","","","audio_broadcast","","","0.0","2017-12-04"
"25620","http://www.kmbc.com","kmbc.com","USA","US-MO","en","United States","video_broadcast","","","51.48","2016-10-31"
"67649","http://www.kmbz.com/#spider","kmbz.com","USA","US-MO","en","","video_broadcast","","","0.01","2013-07-15"
"1270","http://www.kmov.com","kmov cbs","USA","US-MO","en","United States","video_broadcast","","","30.98","2018-09-03"
"661760","http://www.nodawaybroadcasting.com/","KNIM","USA","US-MO","en","United States","video_broadcast","","","9.22","2017-12-11"
"30395","http://www.koamtv.com#spider","koamtv.com","USA","US-MO","en","","video_broadcast","","","0.0","2013-05-20"
"661712","http://www.komu.com/home/","KOMU","USA","US-MO","en","United States","video_broadcast","","","17.77","2013-06-03"
"25279","http://kplr11.com","kplr11.com","USA","US-MO","en","United States","video_broadcast","","","11.07","2017-12-11"
"278810","http://www.kq2.com/","kq2.com","USA","US-MO","en","United States","video_broadcast","","","0.13","2016-02-15"
"163283","https://krcgtv.com/","KRCG","USA","US-MO","en","United States","video_broadcast","","","0.0","2014-12-01"
"661696","https://www.krzk.com/","KRZK","USA","US-MO","","","video_broadcast","","","0.0","2017-12-25"
"1271","http://www.ksdk.com","ksdk nbc","USA","US-MO","en","United States","video_broadcast","","","50.17","2011-10-17"
"95441","http://www.kshb.com/#spider","kshb.com","","","","","","","","0.0","2013-04-15"
"246441","http://ksmu.org/","ksmu.org","USA","US-MO","en","United States","video_broadcast","","","38.02","2017-12-04"
"25313","http://www.kspr.com/","KSPR","USA","US-MO","","","video_broadcast","","","0.2","2012-04-16"
"208622","http://ktts.com/","ktts.com","USA","US-MO","en","United States","video_broadcast","","","14.17","2019-08-26"
"286232","http://ktvo.com/","ktvo.com","","","","","","","","2.7","2020-03-09"
"661745","http://www.dlatinos.com/univision/kansas/","KUKC","USA","US-MO","es","United States","video_broadcast","","","5.38","2017-12-04"
"661736","http://kwos.com/","KWOS","USA","US-MO","en","United States","video_broadcast","","","3.37","2017-12-04"
"26723","http://www.ky3.com","ky3.com","USA","US-MO","en","United States","video_broadcast","","","1.24","2017-08-07"
"661703","http://www.960kzim.com/","KZIM","USA","US-MO","en","United States","video_broadcast","","","7.9","2017-12-11"
"659858","http://www.lakegazette.net/","Lake Gazette - United States - Missouri","USA","US-MO","en","","print_native","","","0.0","2017-12-25"
"265913","http://lakenewsonline.com/","lakenewsonline.com","USA","US-MO","en","United States","print_native","","","44.29","2017-12-04"
"661750","http://lamardemocrat.com/","Lamar Democrat","USA","US-MO","en","","print_native","","","0.31","2018-10-29"
"661763","http://www.lawrencecountyrecord.com/","Lawrence County Record","USA","US-MO","en","United States","print_native","","","0.09","2017-11-20"
"661753","http://www.lebanondailyrecord.com/","Lebanon Daily Record","USA","US-MO","en","United States","print_native","","","0.01","2017-11-20"
"323731","http://libertytribune.com/","libertytribune.com","USA","US-MO","en","United States","print_native","","","0.17","2015-03-02"
"661756","http://www.thelickingnews.com/","Licking News","USA","US-MO","en","United States","print_native","","","2.09","2017-12-04"
"661800","http://www.lincolncountyjournal.com/","Lincoln County Journal","USA","US-MO","en","United States","print_native","","","0.11","2018-01-01"
"661757","http://www.iclassifiedsnetwork.com/51863/2218/lincoln-new-erapdf","Lincoln New Era","USA","US-MO","en","","print_native","","","0.0","2017-12-04"
"661697","http://www.linncountyleader.com/","Linn County Leader","USA","US-MO","en","United States","print_native","","","13.29","2017-12-11"
"661758","http://www.louisianapressjournal.com/","Louisiana Press Journal","USA","US-MO","en","","print_native","","","0.07","2017-12-25"
"76969","http://www.lsjournal.com/#spider","lsjournal.com","USA","US-MO","en","United States","print_native","","","0.14","2017-11-27"
"317080","http://lstribune.net/","lstribune.net","USA","US-MO","en","United States","print_native","","","2.94","2017-12-04"
"419404","http://marshallnews.com/","marshallnews.com","USA","US-MO","en","","print_native","","","0.0","2018-06-18"
"661759","http://marshfieldmail.com/","Marshfield Mail","USA","US-MO","en","","print_native","","","0.0","2020-04-29"
"176719","http://maryvilledailyforum.com/","maryvilledailyforum.com","USA","US-MO","en","United States","print_native","","","0.17","2015-03-02"
"197047","http://mbcpathway.com/","mbcpathway.com","USA","US-MO","en","United States","print_native","","","2.19","2017-11-06"
"661775","http://mdcp.nwaonline.com/","McDonald County Press","USA","US-MO","en","United States","print_native","","","2.73","2018-11-12"
"25753","http://media2.kshb.com","media2.kshb.com","USA","US-MO","en","United States","video_broadcast","","","3.06","2017-02-20"
"436713","http://memphisdemocrat.com/","memphisdemocrat.com","USA","US-MO","en","United States","print_native","","","1.21","2017-12-11"
"118553","http://mexicoledger.com/","mexicoledger.com","USA","US-MO","en","United States","print_native","","","16.52","2017-12-11"
"661772","http://www.mafg.net/","Mid America Farmer Grower","USA","US-MO","en","","print_native","","","0.0","2017-12-04"
"661708","http://www.misscotimes.com/12374/1764/1/this-weeks-issuepdf","Mississippi County Times","USA","US-MO","en","","print_native","","","0.0","2017-12-04"
"111889","http://missourinet.com/","missourinet.com","USA","US-MO","en","United States","video_broadcast","","","6.02","2017-12-11"
"661684","http://mosports.rivals.com/","Mo Sports","USA","US-MO","en","United States","digital_native","","","0.6","2017-09-11"
"434139","http://moberlymonitor.com/","moberlymonitor.com","USA","US-MO","en","United States","print_native","","","15.91","2017-12-11"
