media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"92121","http://www.1310kfka.com/#spider","1310kfka.com","USA","US-CO","en","United States","video_broadcast","","","39.93","2018-08-13"
"299493","http://303magazine.com/","303magazine.com","USA","US-CO","en","United States","print_native","","","3.47","2017-12-11"
"659598","http://www.seniorsmarketplacenews.com/","50 Plus Marketplace News","USA","US-CO","en","United States","print_native","","","1.24","2018-06-04"
"207664","http://5280.com/","5280.com","USA","US-CO","en","United States","print_native","","","3.86","2017-11-27"
"20171","http://www.850koa.com","850koa.com","USA","US-CO","en","","video_broadcast","","","0.0","2017-12-04"
"82159","http://www.9news.com/#spider","9news.com","USA","US-CO","en","United States","video_broadcast","","","42.74","2014-06-02"
"659650","http://www.agjournalonline.com/","Ag Journal","USA","US-CO","en","United States","print_native","","","30.11","2017-01-16"
"659567","http://www.akronnewsreporter.com/","Akron News Reporter","USA","US-CO","en","United States","print_native","","","1.76","2018-07-30"
"137933","http://arvadapress.com/","arvadapress.com","USA","US-CO","en","United States","print_native","","","0.53","2017-12-04"
"68187","http://www.aspendailynews.com/#spider","aspendailynews.com","USA","US-CO","en","","print_native","","","0.09","2011-08-08"
"240801","http://aspenpublicradio.org/","aspenpublicradio.org","USA","US-CO","en","United States","video_broadcast","","","36.88","2017-12-04"
"69597","http://www.aspentimes.com/#spider","aspentimes.com","USA","US-CO","en","United States","print_native","","","19.42","2016-08-15"
"659573","http://www.aurorasentinel.com/aurora-magazine/","Aurora Magazine","USA","US-CO","en","United States","print_native","","","19.96","2013-06-10"
"87321","http://www.aurorasentinel.com/#spider","aurorasentinel.com","USA","US-CO","en","United States","print_native","","","19.62","2017-12-11"
"655043","http://beaconseniornews.com/","Beacon - United States - Colorado","USA","US-CO","en","United States","print_native","","","0.24","2017-12-04"
"659654","http://www.bcdemocratonline.com/","Bent County Democrat","USA","US-CO","en","United States","print_native","","","31.03","2017-12-04"
"659574","http://www.berthoudsurveyor.com/","Berthoud Weekly Surveyor","USA","US-CO","en","United States","print_native","","","1.04","2017-08-28"
"248762","http://berthoudrecorder.com/","berthoudrecorder.com","USA","US-CO","en","United States","print_native","","","0.24","2012-11-05"
"151326","http://bizwest.com/","bizwest.com","USA","US-CO","en","United States","print_native","","","11.41","2017-12-04"
"30430","http://www.boulderweekly.com#spider","boulderweekly.com","USA","US-CO","en","United States","print_native","","","1.6","2017-12-04"
