media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"342098","http://960weli.iheart.com/","960weli.iheart.com","USA","US-CT","en","United States","video_broadcast","","","0.72","2017-01-16"
"360944","http://www.bethelbulletin.com/","Bethel Bulletin - Bethel's News and Information Source","USA","US-CT","en","Connecticut","digital_native","","","0.0","2017-02-06"
"61810","http://blogs.rep-am.com/","blogs.rep-am.com","USA","US-CT","en","United States","print_native","","","0.84","2013-09-16"
"360945","http://www.newhavenindependent.org/index.php/branford/","Branford Eagle — It's Your Town. Read All About It.","USA","US-CT","en","United States","digital_native","","","0.0","2016-12-05"
"360951","http://bristolobserver.com/","Bristol Observer","USA","US-CT","en","United States","print_native","","","5.24","2016-12-05"
"77923","http://www.bristolpress.com/#spider","bristolpress.com","USA","US-CT","en","United States","print_native","","","23.78","2017-12-04"
"320099","http://catholictranscript.org/","catholictranscript.org","USA","US-CT","en","","print_native","","","0.0","2016-01-11"
"360986","http://www.newbritainherald.com/newington_town_crier/","Central Connecticut Communications","USA","US-CT","en","United States","print_native","","","0.29","2016-12-12"
"360970","http://www.commercialrecord.com/","Commercial Record","USA","US-CT","en","United States","print_native","","","0.3","2016-12-12"
"72163","http://connecticut.cbslocal.com/#spider","connecticut.cbslocal.com","USA","US-CT","en","United States","video_broadcast","","","3.28","2013-06-03"
"320643","http://connecticut.news12.com/","connecticut.news12.com","USA","US-CT","en","United States","video_broadcast","","","0.79","2016-12-12"
"250181","http://connecticutmag.com/","connecticutmag.com","USA","US-CT","en","","print_native","","","0.02","2012-07-30"
"360994","http://www.remindernews.com/","Courant Community - Courant Community","USA","US-CT","en","United States","print_native","","","0.22","2016-12-19"
"114581","http://cpbn.org/","cpbn.org","USA","US-CT","en","United States","video_broadcast","","","0.31","2016-08-01"
"19183","http://www.ctmirror.org","ctmirror.org","USA","US-CT","en","United States","digital_native","","","5.6","2016-12-12"
"138320","http://ctn.state.ct.us/","ctn.state.ct.us","USA","US-CT","en","","video_broadcast","","","0.03","2018-04-23"
"71508","http://www.ctnewsjunkie.com/#spider","ctnewsjunkie.com","USA","US-CT","en","United States","digital_native","","","3.98","2012-04-23"
"72845","http://www.ctnow.com/#spider","ctnow.com","USA","US-CT","en","United States","video_broadcast","","","0.12","2016-12-12"
"35035","http://www.ctpost.com#spider","ctpost.com","USA","US-CT","en","United States","print_native","","","36.48","2016-12-12"
"246247","http://ctpostchronicle.com/","ctpostchronicle.com","USA","US-CT","en","United States","print_native","","","0.0","2013-02-11"
"134485","http://dailycampus.com/","dailycampus.com","USA","US-CT","en","United States","print_native","","","9.2","2017-01-16"
"360957","http://www.darientimes.com/","Darien Times","USA","US-CT","en","United States","print_native","","","0.04","2016-12-12"
"213954","http://dariennewsonline.com/","dariennewsonline.com","USA","US-CT","en","United States","print_native","","","5.23","2017-11-27"
"360948","http://www.bridgeportdiocese.com/index.php/fcc","Diocese of Bridgeport","USA","US-CT","en","United States","print_native","","","2.26","2017-01-23"
"360966","http://www.dolphin-news.com/","dolphin-news.com | Serving the Naval Submarine Base New London","USA","US-CT","en","","print_native","","","0.0","2015-04-27"
"360960","http://www.eastoncourier.com/","Easton Courier","USA","US-CT","en","United States","print_native","","","0.0","2016-12-12"
"104424","http://www.elsolnews.com","El Sol- El Semanario de la Familia Hispana","USA","US-CT","es","none","print_native","","","3.61","2016-03-21"
"360947","http://westfaironline.com/choose-county/fairfield/","Fairfield County Business Authority | Westfair Communications","USA","US-CT","en","United States","print_native","","","8.78","2016-12-12"
"67982","http://www.fairfieldcitizenonline.com/#spider","fairfieldcitizenonline.com","USA","US-CT","en","United States","print_native","","","2.68","2017-11-27"
"360963","http://farmington.patch.com/","Farmington, CT Patch - Breaking News, Local News, Events, Schools, Weather, Sports and Shopping","USA","US-CT","en","United States","digital_native","","","0.0","2016-12-19"
"360993","http://www.foothillstrader.com/","Foot Hills Trader","USA","US-CT","none","none","print_native","","","0.0","2017-01-16"
"360964","http://www.granbydrummer.com/","Granby Drummer","USA","US-CT","en","Granby","print_native","","","0.34","2018-06-25"
"339977","http://greenwich-post.com/","greenwich-post.com","USA","US-CT","en","United States","print_native","","","0.0","2016-12-12"
"157413","http://greenwichcitizen.com/","greenwichcitizen.com","USA","US-CT","en","United States","print_native","","","28.37","2017-12-04"
"302466","http://greenwichmag.com/","greenwichmag.com","USA","US-CT","en","United States","print_native","","","0.22","2017-11-27"
"69574","http://www.greenwichtime.com/#spider","greenwichtime.com","USA","US-CT","en","United States","print_native","","","28.68","2016-12-12"
"360971","http://hartfordmag.com/connecticut/","Hartford Magazine - Hartford Courant","USA","US-CT","en","United States","print_native","","","0.6","2016-10-03"
"110099","http://hartfordbusiness.com/","hartfordbusiness.com","USA","US-CT","en","United States","print_native","","","0.22","2015-04-13"
"360985","http://www.newmilfordspectrum.com/","http://www.newmilfordspectrum.com/","USA","US-CT","en","United States","print_native","","","4.13","2017-11-27"
"104515","http://www.inqnews.com","Inquiring News »","USA","US-CT","en","United States","print_native","","","0.04","2014-03-03"
"123745","http://jewishledger.com/","jewishledger.com","USA","US-CT","en","none","print_native","","","1.61","2016-12-12"
"77635","http://www.journalinquirer.com/#spider","journalinquirer.com","USA","US-CT","en","United States","print_native","","","1.78","2016-11-21"
"360983","http://www.lavozhispanact.com/","La Voz Hispana | Your Weekly Spanish Newspaper","USA","US-CT","es","none","print_native","","","3.72","2016-12-12"
"360941","http://www.connecticut.statenews.net/","Live Connecticut News Updates – Connecticut State News.Net","USA","US-CT","en","none","digital_native","","","21.4","2016-12-19"
"360942","http://www.thevalleygazette.com/","Live HAN Network","USA","US-CT","en","United States","print_native","","","0.11","2016-12-12"
"360976","http://lymeline.net/","LymeLine.com — Community News for Lyme and Old Lyme, CT","USA","US-CT","en","United States","digital_native","","","1.94","2016-11-28"
"122084","http://middletownpress.com/","middletownpress.com","USA","US-CT","en","United States","print_native","","","27.41","2018-08-27"
"360978","http://www.milfordliving.com/","Milford Living Magazine","USA","US-CT","en","","print_native","","","0.04","2016-04-18"
"360979","http://www.milfordmirror.com/","Milford Mirror","USA","US-CT","en","United States","print_native","","","2.27","2016-12-19"
"126822","http://monroecourier.com/","monroecourier.com","USA","US-CT","en","United States","print_native","","","0.0","2016-12-12"
"360977","http://www.myrecordjournal.com/towntimes/","MyRecordJournal.com |","USA","US-CT","en","Middlefield","print_native","","","0.0","2016-12-12"
"85024","http://www.nbcconnecticut.com/#spider","nbcconnecticut.com","USA","US-CT","en","United States","video_broadcast","","","3.4","2013-06-03"
"204028","http://ncadvertiser.com/","ncadvertiser.com","USA","US-CT","en","United States","print_native","","","0.18","2016-12-12"
"360982","http://www.newcanaandarienmag.com/","New Canaan - Darien Magazine","USA","US-CT","en","United States","print_native","","","0.04","2017-06-19"
"112387","http://newbritainherald.com/","newbritainherald.com","USA","US-CT","en","United States","print_native","","","1.96","2016-05-16"
"321497","http://newcanaannewsonline.com/","newcanaannewsonline.com","USA","US-CT","en","United States","print_native","","","6.13","2017-11-27"
"139683","http://newhavenindependent.org/","newhavenindependent.org","USA","US-CT","en","United States","digital_native","","","8.4","2015-01-12"
"360943","http://www.foothillsmediagroup.com/avon/","News, Breaking News and More: The Register Citizen","USA","US-CT","en","United States","print_native","","","4.38","2016-12-05"
"24088","http://www.newstimes.com","newstimes.com","USA","US-CT","en","United States","print_native","","","29.53","2016-12-12"
"68703","http://newtownbee.com/#spider","newtownbee.com","USA","US-CT","en","United States","print_native","","","0.14","2016-12-12"
"32270","http://nhregister.com#spider","nhregister.com","USA","US-CT","en","United States","print_native","","","92.43","2017-12-11"
"89104","http://www.norwalkcitizenonline.com/#spider","norwalkcitizenonline.com","USA","US-CT","en","United States","print_native","","","27.26","2016-12-12"
"74242","http://www.norwichbulletin.com/#spider","norwichbulletin.com","USA","US-CT","en","United States","print_native","","","97.83","2016-12-12"
"659716","http://www.peoplespressnews.com/","People's Press","USA","US-CT","en","","print_native","","","0.0","2017-01-16"
"360972","http://www.identidadlatina.com/","Periodico Identidad Latina","USA","US-CT","es","United States","print_native","","","2.16","2017-12-04"
"360988","http://plainvilleobserver.com/","Plainville Observer","USA","US-CT","en","United States","print_native","","","5.67","2016-12-19"
"360989","http://www.putnamtowncrier.com/","Putnam Town Crier - The Putnam Town Crier & Northeast Ledger","USA","US-CT","en","Putnam","print_native","","","0.0","2017-01-16"
"171198","http://quchronicle.com/","quchronicle.com","USA","US-CT","en","United States","print_native","","","1.62","2017-01-30"
"71717","http://www.registercitizen.com/#spider","registercitizen.com","USA","US-CT","en","United States","print_native","","","26.46","2017-12-11"
"360962","http://www.sacredheartspectrum.com/","Sacred Heart / sacredheartspectrum.com","USA","US-CT","en","none","print_native","","","0.0","2016-12-12"
"265512","http://sheltonherald.com/","sheltonherald.com","USA","US-CT","en","United States","print_native","","","0.08","2016-12-12"
"360967","http://www.shorelinetimes.com/","shorelinetimes.com | Serving the shoreline communities","USA","US-CT","en","United States","print_native","","","0.02","2011-09-26"
"360991","http://southingtonobserver.com/","Southington Observer","USA","US-CT","en","United States","print_native","","","5.48","2016-12-19"
