media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"25227","http://www.abc2news.com","abc2news.com","USA","US-MD","en","United States","video_broadcast","","","0.04","2018-07-30"
"661156","http://www.baltimoresun.com/explore/harford/publications/the-aegis/","Aegis","USA","US-MD","en","United States","print_native","","","0.01","2017-11-06"
"661175","http://www.appindie.org/","Appalachian Independent","USA","US-MD","en","United States","digital_native","","","0.1","2017-10-09"
"661146","http://www.baltimoresun.com/explore/baltimorecounty/publications/arbutus-times/","Arbutus Times","USA","US-MD","en","United States","print_native","","","75.98","2019-08-26"
"649969","http://www.myupperchesapeake.com/","avenuenews.com | Classified Ads, Jobs, Obituaries, Sports and News in Baltimore and Hartford Counties, MD.","USA","US-MD","en","","print_native","","","0.0","2020-04-29"
"661147","https://www.afro.com/","Baltimore Afro American","USA","US-MD","en","United States","print_native","","","9.56","2018-08-27"
"661148","http://www.bizjournals.com/baltimore/","Baltimore Business Journal","USA","US-MD","en","United States","print_native","","","256.08","2017-12-04"
"661150","http://baltimorepost.com/","Baltimore Post","USA","US-MD","en","","digital_native","","","0.09","2017-04-03"
"21216","http://baltimore.cbslocal.com","baltimore.cbslocal.com","USA","US-MD","en","United States","video_broadcast","","","39.2","2017-12-04"
"147910","https://baltimorebrew.com/","baltimorebrew.com","USA","US-MD","en","United States","digital_native","","","1.49","2014-12-22"
"221620","http://baltimoremagazine.net/","baltimoremagazine.net","USA","US-MD","en","United States","print_native","","","0.06","2012-06-18"
"661159","http://www.baysideoc.com/","Bayside Gazette","USA","US-MD","en","Berlin","print_native","","","1.39","2017-12-04"
"384521","http://bayweekly.com/","bayweekly.com","USA","US-MD","en","United States","print_native","","","0.86","2017-12-04"
"655045","http://www.thebeaconnewspaper.com/baltimore-edition","Beacon - United States - Maryland","USA","US-MD","en","United States","print_native","","","1.63","2018-08-20"
"661157","http://www.belairnewsandviews.com/","Bel Air News and Views","USA","US-MD","en","United States","digital_native","","","0.36","2017-11-27"
"212564","http://bethesdamagazine.com/","bethesdamagazine.com","USA","US-MD","en","United States","print_native","","","6.88","2017-03-20"
"286222","http://bizmonthly.com/","bizmonthly.com","USA","US-MD","en","United States","print_native","","","1.93","2017-05-15"
"85654","http://blogs.citypaper.com/#spider","blogs.citypaper.com","USA","US-MD","en","United States","print_native","","","76.18","2019-08-26"
"661160","http://www.capitalgazette.com/bowie_bladenews/","Bowie Blade News","USA","US-MD","en","United States","print_native","","","0.33","2017-10-23"
"70310","http://www.capitalgazette.com/#spider","capitalgazette.com","USA","US-MD","en","United States","print_native","","","0.79","2015-02-02"
"661204","http://www.baltimoresun.com/explore/carroll/","Carroll Eagle","USA","US-MD","en","United States","print_native","","","14.98","2017-11-27"
"78345","http://www.carrollcountytimes.com/#spider","carrollcountytimes.com","USA","US-MD","en","United States","print_native","","","14.8","2017-12-04"
"94185","http://catholicreview.org/#spider","catholicreview.org","USA","US-MD","en","United States","print_native","","","4.06","2013-01-14"
"661202","http://thecatoctinbanner.com/","Catoctin Banner","USA","US-MD","en","United States","print_native","","","0.11","2017-11-27"
"661161","http://www.baltimoresun.com/explore/baltimorecounty/publications/catonsville-times/","Catonsville Times","USA","US-MD","en","United States","print_native","","","76.97","2019-12-02"
"116398","http://cecildaily.com/","cecildaily.com","USA","US-MD","en","","print_native","","","0.08","2011-10-03"
"472360","http://chestertownspy.org/","chestertownspy.org","USA","US-MD","en","United States","digital_native","","","7.06","2017-12-04"
"661163","http://www.baltimoresun.com/explore/howard/publications/columbia-flier/","Columbia Flier","USA","US-MD","en","United States","print_native","","","0.3","2017-06-26"
"661166","http://www.capitalgazette.com/crofton_westcounty/","Crofton West County Gazette","USA","US-MD","en","","print_native","","","0.12","2017-05-15"
"299064","http://daggerpress.com/","daggerpress.com","USA","US-MD","en","United States","digital_native","","","0.38","2017-12-04"
"661190","http://www.deepcreektimes.com/","Deep Creek Times","USA","US-MD","en","United States","digital_native","","","1.13","2017-11-27"
"79423","http://www.delmarvanow.com/#spider","delmarvanow.com","USA","US-MD","en","United States","print_native","","","0.54","2017-02-06"
"649919","https://www.delmarvanow.com/","DelmarvaNow.com ","USA","US-DE","en","United States","print_native","","","0.0","2019-04-29"
"128681","http://diamondbackonline.com/","diamondbackonline.com","USA","US-MD","en","United States","print_native","","","0.0","2013-01-21"
"359760","http://dundalkeagle.com/","dundalkeagle.com","USA","US-MD","en","","print_native","","","0.0","2016-09-26"
"661173","http://www.emmitsburg.com/","Emmitsburg News Journal","USA","US-MD","en","","print_native","","","0.0","2017-12-04"
"661151","http://www.baltimoresun.com/explore/baltimorecounty/","Explore Baltimore County","USA","US-MD","en","United States","digital_native","","","75.01","2019-09-02"
"661169","http://www.baltimoresun.com/explore/howard/","Explore Howard","USA","US-MD","en","United States","digital_native","","","76.98","2019-12-02"
"661144","http://www.eyeonannapolis.net/","Eye on Annapolis","USA","US-MD","en","United States","digital_native","","","6.7","2017-12-04"
"661198","http://www.thesuflyer.com/","Flyer","USA","US-MD","en","United States","print_native","","","0.02","2017-11-27"
"94439","http://www.foxbaltimore.com/#spider","foxbaltimore.com","USA","US-MD","en","United States","video_broadcast","","","3.38","2016-11-14"
"661174","http://www.frederickmagazine.com/","Frederick Magazine","USA","US-MD","en","United States","print_native","","","0.14","2018-07-02"
"81618","http://www.fredericknewspost.com/#spider","fredericknewspost.com","USA","US-MD","en","United States","print_native","","","0.2","2014-07-28"
"263904","http://ftmeadesoundoff.com/","ftmeadesoundoff.com","USA","US-MD","en","United States","print_native","","","1.33","2017-12-04"
"661152","http://www.baltimoregaylife.com/","Gay Life","USA","US-MD","en","","print_native","","","0.0","2015-12-07"
"591599","http://germantownpulse.net/","germantownpulse.net","USA","US-MD","en","United States","digital_native","","","0.0","2017-10-30"
"661181","http://www.greenbeltnewsreview.com/","Greenbelt News Review","USA","US-MD","en","","print_native","","","0.0","2018-08-13"
"661185","https://www.morganmessenger.com/category/hancock-news/","Hancock News","USA","US-MD","en","United States","print_native","","","2.12","2018-08-27"
"661158","http://www.baltimoresun.com/explore/harford/publications/harford-magazine/","Harford Magazine","USA","US-MD","en","United States","print_native","","","0.0","2015-11-23"
