media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"105576","http://6abc.com/#spider","6abc.com","USA","US-PA","en","United States","video_broadcast","","","65.99","2014-05-12"
"76048","http://www.abc27.com/#spider","abc27.com","USA","US-PA","en","United States","video_broadcast","","","34.71","2017-12-04"
"662837","http://www.abingtonsuburban.com/","Abington Suburban","USA","US-PA","en","United States","print_native","","","1.54","2017-12-04"
"268092","http://aldianews.com/","Al Dia News(English)","USA","US-PA","en","United States","print_native","","","3.63","2014-07-28"
"662904","http://www.allaroundphilly.com/","All Around Philly","USA","US-PA","en","","digital_native","","","0.0","2017-12-04"
"662860","http://alliednews.com/","Allied News","USA","US-PA","en","United States","print_native","","","0.0","2015-03-16"
"659360","http://www.thealmanac.net/","Almanac - United States - Pennsylvania","USA","US-PA","en","","print_native","","","0.01","2020-03-16"
"148232","http://altoonamirror.com/","altoonamirror.com","USA","US-PA","en","United States","print_native","","","0.09","2011-01-03"
"662822","http://www.amblergazette.com/","Ambler Gazette","USA","US-PA","en","United States","print_native","","","0.6","2019-07-22"
"662843","http://www.communitynewsonline.net/","Back Mountain Community News","USA","US-PA","en","","print_native","","","0.0","2017-12-04"
"662825","http://www.bedfordgazette.com/","Bedford Gazette","USA","US-PA","en","United States","print_native","","","0.0","2017-12-04"
"167613","http://berksmontnews.com/","berksmontnews.com","USA","US-PA","en","","digital_native","","","0.02","2015-11-30"
"662826","http://bethlehem.thelehighvalleypress.com/","Bethlehem Press","USA","US-PA","en","United States","print_native","","","4.36","2017-12-11"
"265911","http://billypenn.com/","billypenn.com","USA","US-PA","en","United States","digital_native","","","2.13","2017-12-04"
"537997","http://biz570.com/","biz570.com","USA","US-PA","en","","print_native","","","0.03","2016-06-13"
"662829","http://bloomutoday.com/","Bloom U Today","USA","US-PA","en","","digital_native","","","0.0","2017-12-04"
"662823","http://www.bluevalleytimes.com/","Blue Valley Times","USA","US-PA","en","","print_native","","","0.0","2017-12-04"
