media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"448292","http://590kid.com/","590kid.com","USA","US-ID","en","United States","video_broadcast","","","59.31","2017-12-04"
"185769","http://670kboi.com/","670kboi.com","USA","US-ID","en","United States","video_broadcast","","","0.0","2017-12-04"
"296943","http://am-news.com/","am-news.com","USA","US-ID","en","United States","print_native","","","0.0","2017-12-04"
"130694","http://arbiteronline.com/","arbiteronline.com","USA","US-ID","en","United States","print_native","","","2.5","2017-12-04"
"660083","http://www.boiselifestylepubs.com/","Boise Lifestyle","USA","US-ID","en","United States","print_native","","","0.08","2017-07-24"
"138019","http://boisestatepublicradio.org/","boisestatepublicradio.org","USA","US-ID","en","United States","video_broadcast","","","42.54","2017-12-04"
"80738","http://www.boiseweekly.com/#spider","boiseweekly.com","USA","US-ID","en","United States","print_native","","","0.0","2017-12-04"
"279353","http://bonnercountydailybee.com/","bonnercountydailybee.com","USA","US-ID","en","United States","print_native","","","0.08","2012-11-19"
"85906","http://www.bonnersferryherald.com/#spider","bonnersferryherald.com","USA","US-ID","en","","print_native","","","0.04","2018-02-05"
"660087","http://www.topix.com/city/caldwell-id/","Caldwell Perspective","USA","US-ID","en","United States","print_native","","","0.0","2018-01-08"
"110338","http://cdapress.com/","cdapress.com","USA","US-ID","en","United States","print_native","","","0.19","2014-09-22"
"660088","http://www.challismessenger.com/","Challis Messenger","USA","US-ID","en","United States","print_native","","","0.0","2017-01-09"
"660105","https://www.clearwaterprogress.com/","Clearwater Progess","USA","US-ID","en","United States","print_native","","","1.49","2017-12-04"
"354855","http://clearwatertribune.com/","clearwatertribune.com","USA","US-ID","en","United States","print_native","","","0.81","2017-07-10"
"660093","http://www.cottonwoodchronicle.com/","Cottonwood Chronicle","USA","US-ID","en","","print_native","","","0.0","2018-01-29"
"285952","https://www.mbcradio.com/","Current News","USA","US-ID","en","Canada","print_native","","","2.81","2016-06-13"
"179398","http://dnews.com/","dnews.com","USA","US-ID","en","","print_native","","","0.04","2012-06-18"
"247820","http://eastidahonews.com/","eastidahonews.com","USA","US-ID","en","United States","video_broadcast","","","15.24","2017-12-04"
"387396","https://www.idahopress.com/emmett/","Emmett Messenger-Index.com","USA","US-ID","","","print_native","","","0.0","2011-10-03"
"660079","http://idahoseniorindependent.com/","Idaho Senior Independent","USA","US-ID","en","United States","print_native","","","0.27","2017-11-27"
