media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"311760","http://590kqnt.iheart.com/","590kqnt.iheart.com","USA","US-WA","en","United States","video_broadcast","","","0.52","2012-10-01"
"434355","http://610kona.com/","610kona.com","USA","US-WA","en","United States","video_broadcast","","","16.96","2018-05-07"
"510828","http://allpointbulletin.com/","allpointbulletin.com","USA","US-WA","en","United States","print_native","","","0.6","2017-11-20"
"663885","http://www.goanacortes.com/","Anacortes American","USA","US-WA","en","United States","print_native","","","0.54","2018-07-23"
"663886","http://www.anacortesnow.com/","Anacortes Now","USA","US-WA","en","","digital_native","","","0.0","2020-04-29"
"223722","http://arlingtontimes.com/","arlingtontimes.com","USA","US-WA","en","United States","print_native","","","1.99","2017-12-04"
"663887","http://www.auburn-reporter.com/","Auburn Reporter","USA","US-WA","en","United States","print_native","","","5.34","2017-12-04"
"514051","http://bainbridgereview.com/","bainbridgereview.com","USA","US-WA","en","United States","print_native","","","7.42","2017-12-04"
"134079","http://ballardnewstribune.com/","ballardnewstribune.com","USA","US-WA","en","United States","print_native","","","1.63","2017-12-04"
"287016","http://bbjtoday.com/","bbjtoday.com","USA","US-WA","en","United States","print_native","","","0.59","2013-06-24"
"663889","http://bellevuebusinessjournal.com/","Bellevue Business Journal","USA","US-WA","en","United States","digital_native","","","0.34","2015-08-03"
"130532","http://bellevuereporter.com/","bellevuereporter.com","USA","US-WA","en","United States","print_native","","","3.52","2017-12-04"
"32770","http://blog.seattlepi.com#spider","blog.seattlepi.com","USA","US-WA","en","United States","digital_native","","","183.83","2017-12-04"
"663891","http://www.bothell-reporter.com/","Bothell Kenmore Reporter","USA","US-WA","en","United States","print_native","","","3.38","2017-12-04"
"484788","http://businessexaminer.com/","businessexaminer.com","USA","US-WA","en","","print_native","","","0.0","2016-01-18"
"663893","http://www.camaspostrecord.com/","Camas Wahougal Post Record","USA","US-WA","en","United States","print_native","","","1.62","2017-12-04"
"266269","http://capitolhilltimes.com/","capitolhilltimes.com","USA","US-WA","en","United States","print_native","","","0.28","2017-11-27"
"1594","http://www.cascadiaweekly.com","cascadia weekly","USA","US-WA","en","United States","print_native","","","0.0","2015-10-05"
"663894","http://cashmerevalleyrecord.com/","Cashmere Valley Record","USA","US-WA","en","United States","print_native","","","0.99","2017-12-18"
"663899","http://www.cheneyfreepress.com/","Cheney Free Press Homepage","USA","US-WA","en","United States","print_native","","","4.39","2017-11-27"
"286001","http://chinookobserver.com/","chinookobserver.com","USA","US-WA","en","United States","print_native","","","0.03","2014-10-06"
"211347","http://chronline.com/","chronline.com","USA","US-WA","en","","print_native","","","0.17","2012-01-16"
