media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"324562","http://1410wizm.com/","1410wizm.com","USA","US-WI","en","United States","video_broadcast","","","11.9","2017-12-11"
"347659","http://940wfaw.com/","940wfaw.com","USA","US-WI","en","United States","video_broadcast","","","0.34","2017-12-11"
"664084","http://www.fdlreporter.com/news/action-advertiser/","Action Advertiser","USA","US-WI","en","United States","print_native","","","24.47","2017-12-04"
"664145","https://advancetitan.com/","Advance Titan","USA","US-WI","en","United States","print_native","","","1.59","2017-10-30"
"664161","http://advertisercommunitynews.com/","Advertiser Community News","USA","US-WI","en","United States","print_native","","","0.71","2017-12-04"
"247755","http://agriview.com/","agriview.com","USA","US-WI","en","","print_native","","","0.0","2015-09-14"
"664043","http://www.theameryfreepress.com/","Amery Free Press","USA","US-WI","en","","print_native","","","0.0","2017-12-04"
"664044","http://www.antigodailyjournal.com/","Antigo Daily Journal","USA","US-WI","en","","print_native","","","0.0","2018-04-02"
"664045","https://www.antigotimes.com/","Antigo Times","USA","US-WI","en","United States","print_native","","","3.67","2017-12-04"
"664048","http://www.gmdmedia.net/augusta-area-times","Augusta Area Times","USA","US-WI","en","United States","print_native","","","0.34","2017-12-11"
"128094","http://badgerherald.com/","badgerherald.com","USA","US-WI","en","United States","print_native","","","4.41","2017-12-04"
"664049","http://www.wiscnews.com/baraboonewsrepublic/","Baraboo News Republic","USA","US-WI","en","United States","print_native","","","2.09","2018-10-01"
"664050","http://www.news-shield.com/","Barron News Shield","USA","US-WI","en","United States","print_native","","","14.83","2017-11-27"
"664127","https://bayviewcompass.com/","Bay View Compass","USA","US-WI","en","United States","print_native","","","0.29","2017-10-30"
"664051","http://www.apg-wi.com/bayfield_county_journal/","Bayfield County Journal","USA","US-WI","en","","print_native","","","0.0","2014-11-17"
"95740","http://www.beloitdailynews.com/#spider","beloitdailynews.com","USA","US-WI","en","United States","print_native","","","0.06","2015-08-24"
"88012","http://www.biztimes.com/#spider","biztimes.com","USA","US-WI","en","United States","print_native","","","6.53","2017-12-11"
