media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"661016","http://www.aceweekly.com/","Ace Weekly","USA","US-KY","en","United States","print_native","","","1.26","2017-12-04"
"660985","http://accvonline.com/","Adair County Community Voice","USA","US-KY","en","United States","print_native","","","3.66","2018-04-09"
"660986","http://www.adairprogress.com/58173/1945/1/home","Adair Progress","USA","US-KY","en","United States","print_native","","","0.87","2018-04-23"
"661013","http://www.ky-news.com/section/the-advance-yeoman","Advance Yeoman","USA","US-KY","en","","print_native","","","0.0","2018-01-29"
"150941","http://amnews.com/","amnews.com","","","","","","","","0.08","2020-03-30"
"660965","http://www.bgdailynews.com/amplifier/","Amplifier","USA","US-KY","en","","print_native","","","0.0","2018-08-27"
"661034","http://news-expressky.com/","Appalachian News Express","USA","US-KY","en","","print_native","","","0.06","2015-03-02"
"661051","http://theasburycollegian.com/","Asbury Collegian","USA","US-KY","en","United States","print_native","","","1.36","2017-11-27"
"144609","http://bgdailynews.com/","bgdailynews.com","USA","US-KY","en","United States","print_native","","","0.19","2011-05-30"
"134291","http://bizlex.com/","bizlex.com","USA","US-KY","en","United States","print_native","","","0.88","2017-11-20"
"661021","http://www.bizjournals.com/louisville/","Business First","USA","US-KY","en","United States","print_native","","","257.04","2013-06-10"
"660972","http://www.cadizrecord.com/","Cadiz Record","USA","US-KY","en","","print_native","","","0.0","2020-04-29"
"660961","http://www.ky-news.com/section/the-carlisle-county-news","Carlisle County News","USA","US-KY","en","","print_native","","","0.0","2017-12-25"
"661019","http://www.caseynews.net/","Casey County News","USA","US-KY","en","United States","print_native","","","1.58","2018-08-27"
"660974","http://www.cknj.com/","Central Kentucky News Journal","USA","US-KY","en","United States","print_native","","","1.54","2017-10-16"
"154785","http://chevychaser.com/","chevychaser.com","USA","US-KY","en","United States","print_native","","","0.88","2017-11-20"
"661038","http://www.thecitizen-times.com/v2/content.aspx?IsHome=1&MemberID=2111&ID=41688","Citizen Times","USA","US-KY","en","","print_native","","","0.0","2017-12-04"
"661011","http://www.cvt-news.com/news/","Citizen Voice and Times","USA","US-KY","en","United States","print_native","","","0.38","2017-11-27"
"660982","http://www.claycity-times.com/news/","Clay City Times","USA","US-KY","en","United States","print_native","","","0.41","2017-11-20"
"660287","http://clintonnews.net/pages/","Clinton County News - United States - Kentucky","USA","US-KY","en","United States","print_native","","","1.34","2017-11-27"
"91426","https://www.courier-journal.com/#spider","Courier-Journal","USA","US-KY","en","United States","print_native","","","42.21","2018-08-20"
"661026","http://crittendenpress.blogspot.com/","Crittenden Press","USA","US-KY","en","United States","print_native","","","2.68","2017-12-04"
"660989","http://www.cynthianademocrat.com/","Cynthiana Democrat","USA","US-KY","en","United States","print_native","","","1.68","2018-08-27"
"109609","http://dailyindependent.com/","dailyindependent.com","USA","US-KY","en","","print_native","","","0.01","2011-06-20"
"661035","http://easternprogress.com/","Eastern Progress","USA","US-KY","en","United States","print_native","","","0.11","2018-02-19"
"661012","http://www.estilltribune.com/","Estill County Tribune","USA","US-KY","en","","print_native","","","0.0","2018-03-12"
"660994","http://www.falmouthoutlook.com/","Falmouth Outlook","USA","US-KY","en","United States","print_native","","","1.7","2018-01-29"
"660987","http://thefarmerspride.com/","Farmer's Pride","USA","US-KY","en","","print_native","","","0.0","2017-08-14"
"213892","http://floydcountytimes.com/","floydcountytimes.com","USA","US-KY","en","","print_native","","","0.01","2015-03-02"
"94380","http://www.fortcampbellcourier.com/#spider","fortcampbellcourier.com","USA","US-KY","en","","print_native","","","0.0","2017-07-17"
