media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"561950","http://600wmtradio.iheart.com/","600wmtradio.iheart.com","USA","US-IA","en","United States","video_broadcast","","","0.44","2017-09-11"
"660478","http://www.ackleyworldjournal.com/","Ackley World Journal","USA","US-IA","en","","print_native","","","0.0","2020-04-29"
"660480","http://akronhometowner.com/pages/","Akron Hometowner","USA","US-IA","en","United States","print_native","","","1.04","2017-12-04"
"649947","http://www.albianews.com/","Albia Newspapers","USA","US-IA","en","United States","print_native","","","12.74","2018-08-27"
"18200","http://www.algona.com/","Algona Upper Des Moines > Front","USA","US-IA","en","United States","print_native","","","1.12","2013-07-29"
"18177","http://www.amestrib.com/","Ames Tribune > Front","USA","US-IA","en","United States","print_native","","","33.53","2016-04-04"
"660483","http://www.swiowanewssource.com/atlantic/","Atlantic News Telegraph","USA","US-IA","en","United States","print_native","","","6.53","2018-09-17"
"660486","http://www.swiowanewssource.com/audubon/","Audubon County Advocate Journal","USA","US-IA","en","United States","print_native","","","3.6","2018-12-03"
"660487","http://www.bedfordtimes-press.com/","Bedford Times Press","USA","US-IA","en","United States","print_native","","","1.21","2018-08-20"
"660822","https://www.belltimescourier.com/","Bell-Times  Courier","USA","US-IA","en","United States","print_native","","","3.0","2018-08-20"
"660488","http://www.belmondnews.com/","Belmond Independent","USA","US-IA","en","","print_native","","","0.0","2020-04-29"
"660489","http://qctimes.com/news/local/bettendorf/","Bettendorf News","USA","US-IA","en","United States","print_native","","","1.29","2017-11-13"
"660492","http://www.bdemo.com/","Bloomfield Democrat","USA","US-IA","en","United States","print_native","","","0.0","2017-12-04"
"660531","http://www.bonnybuyer.net/","Bonny Buyer","USA","US-IA","en","","print_native","","","0.0","2017-12-04"
"660493","http://globegazette.com/brittnewstribune/","Britt News Tribune","USA","US-IA","en","United States","print_native","","","1.61","2017-11-13"
"190961","http://businessrecord.com/","businessrecord.com","USA","US-IA","en","United States","print_native","","","7.53","2013-06-10"
"660494","http://calmarcourier.com/","Calmar Courier","USA","US-IA","en","","print_native","","","0.0","2020-04-29"
"194174","http://carrollspaper.com/","carrollspaper.com","USA","US-IA","en","United States","print_native","","","0.04","2012-11-05"
"660496","http://www.cpioneer.com/","Cascade Pioneer","USA","US-IA","en","","print_native","","","0.0","2017-07-31"
