media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"313829","http://600wrec.iheart.com/","600wrec.iheart.com","USA","US-TN","en","United States","video_broadcast","","","0.38","2018-11-26"
"527774","http://advocateanddemocrat.com/","advocateanddemocrat.com","USA","US-TN","en","","print_native","","","0.02","2015-03-02"
"663093","http://www.theallstate.org/","All State","USA","US-TN","en","United States","print_native","","","0.97","2017-12-04"
"663081","http://bartlett-express.com/","Bartlett Express","USA","US-TN","en","United States","print_native","","","0.68","2017-11-20"
"663156","http://www.thebledsonian-banner.com/v2/content.aspx?ID=1257&MemberID=1229&IsHome=1","Bledsonian Banner","USA","US-TN","en","United States","print_native","","","0.87","2017-11-27"
"73100","http://blogs.tennessean.com/#spider","blogs.tennessean.com","USA","US-TN","en","United States","print_native","","","56.46","2014-03-24"
"320554","http://brentwoodhomepage.com/","brentwoodhomepage.com","USA","US-TN","en","United States","digital_native","","","0.0","2017-12-04"
"663129","http://www.buffaloriverreview.com/v2/content.aspx?ID=1460&MemberID=1257&IsHome=1","Buffalo River Review","USA","US-TN","en","United States","print_native","","","1.26","2017-12-11"
"663082","http://www.bulletintimesnews.com/","Bulletin Times","USA","US-TN","en","United States","print_native","","","0.83","2017-12-04"
"663115","http://www.bjournal.com/","Business Journal of Tri Cities","USA","US-TN","en","United States","print_native","","","0.32","2014-04-14"
"663084","www.thecamdenchronicle.com","Camden Chronicle","USA","US-TN","","","print_native","","","0.08","2017-08-07"
"460471","http://cannoncourier.com/","cannoncourier.com","USA","US-TN","en","","print_native","","","0.0","2017-05-01"
"663110","www.news-leaderonline.com","Carroll County News Leader","USA","US-TN","","","print_native","","","0.08","2017-08-07"
"663086","http://www.carthagecourier.com/v2/content.aspx?ID=9482&MemberID=1701&IsHome=1","Carthage Courier","USA","US-TN","en","United States","print_native","","","1.18","2017-12-04"
"663089","http://www.chattanooganewschronicle.com/","Chattanooga News Chronicle","USA","US-TN","en","","print_native","","","0.01","2018-01-01"
"663090","http://www.chattanoogan.com/Breaking-News/","Chattanoogan","USA","US-TN","en","United States","digital_native","","","13.97","2013-06-03"
"299035","http://chattanoogapulse.com/","chattanoogapulse.com","USA","US-TN","en","United States","print_native","","","3.06","2017-11-27"
