media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"661055","http://www.225batonrouge.com/","225","USA","US-LA","en","United States","print_native","","","2.76","2017-12-11"
"150383","http://710keel.com/","710keel.com","USA","US-LA","en","United States","video_broadcast","","","7.94","2017-12-04"
"661073","http://theadvocate.com/acadiana/","Acadiana Advocate","USA","US-LA","en","United States","print_native","","","0.18","2017-02-20"
"661083","http://www.acadianalifestyle.com/","Acadiana Lifestyle","USA","US-LA","en","United States","print_native","","","0.0","2017-11-27"
"649965","http://www.acadiaparishtoday.com/","AcadiaParishToday.com | Crowley Post-Signal, Rayne Acadian-Tribune, Church Point News | Acadia Parish, La. | Your news, sports a","USA","US-LA","en","United States","print_native","","","6.81","2017-12-04"
"357764","http://actionnews17.com/","actionnews17.com","USA","US-LA","en","United States","digital_native","","","0.02","2017-12-11"
"183658","http://americanpress.com/","americanpress.com","USA","US-LA","en","","print_native","","","0.0","2014-09-29"
"112977","http://arklatexhomepage.com/","arklatexhomepage.com","USA","US-LA","en","United States","video_broadcast","","","44.98","2019-08-26"
"661093","http://www.ascensionmagazine.net/","Ascension Magazine","USA","US-LA","en","","print_native","","","0.0","2017-12-04"
"648745","http://www.avoyellestoday.com","Avoyelles Today | Your news, sports and entertainment leader for Avoyelles Parish.","USA","US-LA","en","United States","print_native","","","4.52","2017-11-20"
"655088","https://bernicebanner.weebly.com/","Banner - United States - Louisiana","USA","US-LA","en","United States","print_native","","","0.0","2017-12-04"
"268258","http://baptistmessage.com/","baptistmessage.com","USA","US-LA","en","United States","print_native","","","2.24","2017-12-04"
"320166","http://bastropenterprise.com/","bastropenterprise.com","USA","US-LA","en","United States","print_native","","","78.97","2017-11-20"
"201936","http://beauregarddailynews.net/","beauregarddailynews.net","USA","US-LA","en","United States","print_native","","","33.76","2017-12-04"
"661094","http://www.thebestoftimesnews.com/","Best of Times","USA","US-LA","en","United States","print_native","","","0.36","2017-11-27"
"24044","http://www.bestofneworleans.com","bestofneworleans.com","USA","US-LA","en","United States","print_native","","","0.0","2017-12-04"
"174843","http://bizneworleans.com/","bizneworleans.com","USA","US-LA","en","United States","print_native","","","8.23","2019-08-26"
"86254","http://www.bossierpress.com/#spider","bossierpress.com","USA","US-LA","en","United States","print_native","","","6.97","2017-12-04"
"87918","https://www.brproud.com/","BR Proud","USA","US-LA","en","United States","video_broadcast","","","39.03","2019-09-02"
"369593","http://brproud.com/","brproud.com","USA","US-LA","en","United States","video_broadcast","","","39.8","2019-09-02"
"138677","http://businessreport.com/","businessreport.com","USA","US-LA","en","United States","print_native","","","9.91","2017-12-04"
"661063","http://www.dequincynews.com/pilot/","Cameron Parish Pilot","USA","US-LA","en","","print_native","","","0.0","2017-12-04"
"661056","http://capitalcitynews.us/","Capital City News","USA","US-LA","en","","print_native","","","0.01","2017-11-13"
"661057","http://thecatholiccommentator.org/pages/","Catholic Commentator","USA","US-LA","en","United States","print_native","","","1.82","2017-11-20"
"661095","http://www.thecatholicconnection.org/","Catholic Connection","USA","US-LA","en","United States","print_native","","","0.0","2015-03-30"
"661053","http://www.cenlafocus.com/","Cenla Focus","USA","US-LA","en","United States","print_native","","","0.11","2017-11-06"
"661084","http://clarionherald.info/clarion/","Clarion Herald","USA","US-LA","en","United States","print_native","","","0.33","2017-12-04"
"87296","http://www.dailycomet.com/#spider","dailycomet.com","USA","US-LA","en","United States","print_native","","","112.58","2017-12-04"
"160487","http://dailyworld.com/","dailyworld.com","USA","US-LA","en","United States","print_native","","","11.79","2017-12-04"
"648773","http://www.dequincynews.com","DeQuincyNews.com-DeQuincy, Louisiana","USA","US-LA","en","United States","print_native","","","1.49","2019-08-19"
"661058","https://digbr.com/","Dig","USA","US-LA","en","United States","print_native","","","0.0","2017-12-04"
