media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"337104","http://1019therock.com/","1019therock.com","USA","US-ME","en","United States","other","","","14.94","2016-09-12"
"214266","http://advertiserdemocrat.com/","advertiserdemocrat.com","USA","US-ME","en","United States","print_native","","","1.97","2017-12-04"
"661113","http://www.republican-me.com/","Aroostock Republican and News","USA","US-ME","en","United States","print_native","","","8.17","2018-08-27"
"20320","http://bangordailynews.com","bangordailynews.com","USA","US-ME","en","United States","print_native","","","47.3","2017-10-02"
"661108","http://www.bethelcitizen.com/","Bethel Citizen","USA","US-ME","en","United States","print_native","","","1.37","2018-07-16"
"661109","http://courier.mainelymediallc.com/","Biddeford Saco OOB Courier","USA","US-ME","en","United States","print_native","","","0.0","2017-12-04"
"231813","http://boothbayregister.com/","boothbayregister.com","USA","US-ME","en","United States","print_native","","","6.38","2017-12-04"
"158098","http://bowdoinorient.com/","bowdoinorient.com","USA","US-ME","en","United States","print_native","","","1.28","2018-05-07"
"661110","http://www.bridgton.com/","Bridgton News","USA","US-ME","en","United States","print_native","","","0.0","2017-11-27"
"661111","http://www.thecalaisadvertiser.com/","Calais Advertiser","USA","US-ME","en","United States","print_native","","","0.0","2017-12-04"
"661112","http://www.capecourier.com/","Cape Courier","USA","US-ME","en","","print_native","","","0.0","2017-12-04"
"661114","http://castinepatriot.com/","Castine Patriot","USA","US-ME","en","United States","print_native","","","0.5","2018-07-30"
"25755","https://www.centralmaine.com/","Central Maine News","USA","US-ME","en","United States","print_native","","","64.72","2018-08-27"
"538091","http://coastaljournal.com/","coastaljournal.com","USA","US-ME","en","United States","print_native","","","1.08","2018-08-20"
"661121","http://www.dailybulldog.com/db/","Daily Bulldog","USA","US-ME","en","United States","digital_native","","","6.62","2017-12-04"
"661116","http://www.thedailyme.com/","Daily Me","USA","US-ME","en","","digital_native","","","0.0","2017-12-04"
"269396","http://downeast.com/","downeast.com","USA","US-ME","en","United States","print_native","","","1.11","2017-11-27"
"661117","http://www.easterngazette.com/","Eastern Gazette","USA","US-ME","en","","print_native","","","0.0","2017-12-04"
"595328","http://fox23maine.com/","fox23maine.com","USA","US-ME","en","United States","video_broadcast","","","0.74","2018-03-05"
"376117","http://foxbangor.com/","foxbangor.com","USA","US-ME","en","United States","video_broadcast","","","10.29","2019-08-26"
