media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"387038","http://abington.wickedlocal.com","Abington Mariner: Local & World News, Sports & Entertainment in Abington, MA","USA","MA","en","none","print_native","","","16.3","2017-11-13"
"253883","http://ack.net/","ack.net","USA","MA","en","none","print_native","","","17.33","2017-06-05"
"368753","http://acton.wickedlocal.com/","acton.wickedlocal.com","USA","MA","en","none","print_native","","","4.02","2017-04-03"
"653256","http://www.southcoasttoday.com/apps/pbcs.dll/section?Category=PUB01","Advocate - United States - Massachusetts","USA","US-MA","en","United States","print_native","","","93.76","2017-12-04"
"661280","http://www.afampointofview.com/","Afro American Point of View","USA","US-MA","en","United States","print_native","","","0.16","2017-10-30"
"372017","http://allston.wickedlocal.com/","allston.wickedlocal.com","USA","MA","en","United States","print_native","","","14.47","2017-11-20"
"387040","http://amesbury.wickedlocal.com","Amesbury News: Local & World News, Sports & Entertainment in Amesbury, MA","USA","MA","en","none","print_native","","","1.91","2017-03-27"
"387053","http://www.amherstbulletin.com","Amherst Bulletin","USA","MA","en","none","print_native","","","2.17","2017-02-27"
"127949","http://amherststudent.amherst.edu/","amherststudent.amherst.edu","USA","US-MA","en","United States","print_native","","","0.0","2017-12-04"
"196802","http://anchornews.org/","anchornews.org","USA","US-MA","en","","print_native","","","0.01","2018-03-05"
"334715","http://andovertownsman.com/","andovertownsman.com","USA","MA","en","","print_native","","","0.0","2015-06-01"
"123364","http://armenianweekly.com/","armenianweekly.com","USA","MA","en","none","print_native","","","2.83","2017-05-08"
"268616","http://ashland.wickedlocal.com/","ashland.wickedlocal.com","USA","MA","en","none","print_native","","","3.57","2017-04-03"
"876487","http://www.auburnmassdaily.com/","Auburn Mass Daily","","","en","United States","","","","1.24","2018-08-20"
"661206","http://www.villagernewspapers.com/","Auburn News","USA","US-MA","en","","print_native","","","0.0","2017-12-04"
"394674","http://www.nashobavalleyvoice.com/ayer_news","Ayer - Nashoba Publishing Online","USA","MA","en","United States","print_native","","","2.34","2019-08-26"
"661207","http://www.babsonfreep.com/","Babson Free Press","USA","US-MA","en","","print_native","","","0.01","2017-09-18"
"661218","http://backbaysun.com/","Back Bay Sun","USA","US-MA","en","United States","print_native","","","1.41","2016-02-01"
"183643","http://bankerandtradesman.com/","bankerandtradesman.com","USA","US-MA","en","United States","print_native","","","0.94","2017-12-04"
"655089","http://www.telegram.com/section/coulter11/","Banner - United States - Massachusetts","USA","US-MA","en","United States","print_native","","","114.23","2015-05-25"
"394676","http://www.barnstablepatriot.com/","Barnstable Patriot: Local & World News, Sports & Entertainment in Hyannis, MA","USA","MA","en","none","print_native","","","18.96","2017-05-08"
"234944","http://baystatebanner.com/","baystatebanner.com","USA","US-MA","en","United States","print_native","","","2.11","2014-02-17"
"89975","http://www.baywindows.com/#spider","baywindows.com","USA","MA","en","United States","print_native","","","0.71","2014-05-19"
"112339","http://beaconhilltimes.com/","beaconhilltimes.com","USA","US-MA","en","United States","print_native","","","1.47","2017-12-04"
