media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"147623","http://9and10news.com/","9and10news.com","USA","US-MI","en","United States","video_broadcast","","","28.18","2017-10-02"
"181794","http://abc10up.com/","abc10up.com","USA","US-MI","en","United States","video_broadcast","","","2.42","2017-12-04"
"94828","http://www.abc12.com/#spider","abc12.com","USA","US-MI","en","United States","video_broadcast","","","34.41","2017-12-04"
"651221","http://www.mcccagora.com/","Agora - United States","USA","US-MI","en","United States","print_native","","","0.64","2017-04-17"
"661312","http://www.allegannews.com/","Allegan County News","USA","US-MI","en","United States","print_native","","","0.68","2017-12-04"
"661315","http://www.arborweb.com/","Ann Arbor Observer","USA","US-MI","en","United States","print_native","","","3.76","2015-01-26"
"661314","http://www.mlive.com/ann-arbor/","Ann Arbor, Michigan Local News, Breaking News, Sports & Weather - MLive.com","USA","US-MI","en","United States","print_native","","","0.0","2013-05-27"
"661343","http://www.arabamericannews.com/news/","Arab American News","USA","US-MI","en","United States","print_native","","","2.77","2017-12-04"
"661428","http://www.arenacindependent.com/","Arenac County Independent","USA","US-MI","en","","print_native","","","0.0","2018-03-05"
"324148","http://argus-press.com/","argus-press.com","USA","US-MI","en","United States","print_native","","","0.8","2017-05-22"
"649974","http://www.associatednewspapers.net/","AssociatedNewspapers.net","USA","US-MI","en","","print_native","","","0.0","2017-12-04"
"70510","http://www.battlecreekenquirer.com/#spider","battlecreekenquirer.com","USA","US-MI","en","United States","print_native","","","5.37","2017-12-04"
"661319","http://www.mlive.com/bay-city/","Bay City Times","USA","US-MI","en","United States","print_native","","","0.0","2018-08-20"
"661327","http://www.baymillsnews.com/","Bay Mills News","USA","US-MI","en","","print_native","","","0.0","2016-12-26"
"661320","http://www.beaverbeacon.com/","Beaver Beacon","USA","US-MI","en","Michigan","print_native","","","0.0","2017-12-04"
"661321","http://www.bedfordnow.com/","Bedford Now","USA","US-MI","en","United States","print_native","","","29.79","2017-12-04"
"286252","http://bellevilleareaindependent.com/","bellevilleareaindependent.com","USA","US-MI","en","United States","print_native","","","1.21","2017-12-04"
"251154","http://bentonspiritnews.com/","bentonspiritnews.com","USA","US-MI","en","","print_native","","","0.01","2015-01-12"
"661328","http://www.bcrnews.net/","Berrien County Record","USA","US-MI","en","United States","print_native","","","1.26","2017-12-04"
"661324","http://www.bigrapids.biz/","Big Rapids","USA","US-MI","en","","digital_native","","","0.0","2017-12-04"
"282371","http://blissfieldadvance.com/","blissfieldadvance.com","USA","US-MI","en","","print_native","","","0.82","2017-10-09"
"285193","http://boynegazette.com/","boynegazette.com","USA","US-MI","en","United States","print_native","","","4.16","2017-11-27"
