media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"660095","http://www.adamscountyextra.com/","Adams County Record - United States - North Dakota","USA","US-ND","en","United States","print_native","","","0.0","2017-11-27"
"32092","http://www.agweek.com#spider","agweek.com","USA","US-ND","en","United States","print_native","","","6.24","2017-12-11"
"662455","https://www.mcintosh-star-tribune.com/newspapers/ashley-tribune","Ashley Tribune","USA","US-ND","en","none","print_native","","","0.0","2018-03-26"
"662485","http://www.bensoncountynews.com/v2/content.aspx?IsHome=1&MemberID=1979&ID=21706","Benson County Farmers Press","USA","US-ND","en","","print_native","","","0.0","2018-01-08"
"662457","http://www.bhgnews.com/?id=1048","Beulah Beacon","USA","US-ND","en","United States","print_native","","","0.31","2017-11-06"
"29275","http://bismarcktribune.com#spider","bismarcktribune.com","USA","US-ND","en","United States","print_native","","","0.37","2016-02-22"
"475963","http://bowmanextra.com/","bowmanextra.com","USA","US-ND","en","United States","print_native","","","0.0","2017-11-20"
"662460","http://online.burkecountytribune.com/","Burke County Tribune","USA","US-ND","","","print_native","","","0.0","2019-04-08"
"1576","http://www.ccreporter.com","cass county reporter","USA","US-ND","en","North Dakota","print_native","","","0.0","2016-10-03"
"662463","http://www.cavalierchronicle.com","Cavalier Chronicle","USA","US-ND","en","","print_native","","","0.0","2018-02-12"
"662479","http://www.cavaliercountyextra.com/","Cavalier County Republican","USA","US-ND","en","United States","print_native","","","0.0","2017-12-04"
"662464","http://www.bhgnews.com/?id=1050","Center Republican","USA","US-ND","en","United States","print_native","","","0.26","2017-11-06"
"662458","http://bismarckdiocese.com/dca","Dakota Catholic Action","USA","US-ND","en","United States","print_native","","","0.71","2017-11-27"
"280693","http://dakotastudent.com/","dakotastudent.com","USA","US-ND","en","United States","print_native","","","0.66","2018-04-30"
"344728","http://devilslakejournal.com/","devilslakejournal.com","USA","US-ND","en","United States","print_native","","","10.68","2017-12-11"
"662478","http://www.dunncountyextra.com/","Dunn County Record","USA","US-ND","en","United States","print_native","","","0.0","2017-11-27"
"1573","http://www.enderlinindependent.com","enderlin independent: north dakota","USA","US-ND","en","none","print_native","","","0.03","2015-12-21"
"240374","http://farmandranchguide.com/","farmandranchguide.com","USA","US-ND","en","","print_native","","","0.0","2015-03-16"
"656026","http://www.bowmanextra.com/the-finder/","Finder - United States","USA","US-ND","en","United States","print_native","","","0.0","2017-11-20"
"662461","http://www.fostercountyindependent.com/","Foster County Independent","USA","US-ND","en","none","print_native","","","0.0","2018-06-25"
"112564","http://grandforksherald.com/","grandforksherald.com","USA","US-ND","en","United States","print_native","","","61.04","2017-12-04"
"662462","http://grantcountyndnews.com/","Grant County North Dakota News","USA","US-ND","en","","digital_native","","","0.0","2018-04-02"
"662465","http://www.ncppub.com/pages/?cat=95","Griggs County Courier","USA","US-ND","en","United States","print_native","","","1.04","2017-12-04"
"662475","http://www.bhgnews.com/?id=1049","Hazen Star","USA","US-ND","en","United States","print_native","","","0.29","2017-11-06"
"653058","http://www.newenglandextra.com/","Herald - United States - North Dakota","USA","US-ND","en","United States","print_native","","","0.0","2017-12-04"
"1614","http://hpr1.com/","high plains reader","USA","US-ND","en","United States","print_native","","","0.11","2011-01-10"
"662476","http://www.hillsborobanner.com/","Hillsboro Banner","USA","US-ND","en","United States","print_native","","","1.82","2017-10-30"
"98987","http://www.inforum.com/#spider","inforum.com","USA","US-ND","en","United States","print_native","","","86.26","2014-09-29"
"54528","http://www.jamestownsun.com/#spider","jamestownsun.com","USA","US-ND","en","United States","print_native","","","40.23","2017-12-04"
"655082","http://www.journaltrib.com/?id=34","Journal - United States - North Dakota","USA","US-ND","en","United States","print_native","","","0.0","2018-05-28"
"559987","http://kbmr.iheart.com/","kbmr.iheart.com","USA","US-ND","en","","video_broadcast","","","0.08","2017-04-03"
"656430","http://www.kenmarend.com/","Kenmare News - United States","USA","US-ND","en","","print_native","","","0.0","2017-12-04"
"1595","http://www.kfgo.com","kfgo","USA","US-ND","en","United States","video_broadcast","","","0.0","2016-10-10"
"333051","http://kfyr.iheart.com/","kfyr.iheart.com","USA","US-ND","en","United States","video_broadcast","","","0.36","2017-08-28"
"114544","http://kfyrtv.com/","kfyrtv.com","USA","US-ND","en","United States","video_broadcast","","","2.33","2016-08-15"
"662472","http://www.knoxradio.com/","KNOX","USA","US-ND","en","","video_broadcast","","","0.17","2018-06-25"
"662477","http://www.ksjbam.com/","KSJB","USA","US-ND","en","United States","video_broadcast","","","0.0","2018-09-17"
"176065","http://kvrr.com/","kvrr.com","USA","US-ND","en","United States","video_broadcast","","","16.63","2017-12-04"
"98094","http://www.kxnet.com/#spider","kxnet.com","USA","US-ND","en","United States","digital_native","","","25.61","2019-09-09"
"660980","http://www.bhgnews.com/?id=1044","Leader News - United States - North Dakota","USA","US-ND","en","United States","print_native","","","0.52","2017-11-06"
"662481","http://mandan-news.com/","Mandan News","USA","US-ND","en","United States","print_native","","","1.9","2019-08-12"
"662483","http://www.bhgnews.com/?id=1081","McClusky Gazette","USA","US-ND","en","United States","print_native","","","0.27","2017-10-30"
"662470","http://www.bhgnews.com/?id=1045","McLean County Independent","USA","US-ND","en","United States","print_native","","","0.29","2017-11-13"
"662500","http://www.bhgnews.com/?id=1046","McLean County Journal","USA","US-ND","en","","print_native","","","0.0","2017-10-30"
