media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"280507","http://770kkob.com/","770kkob.com","USA","US-NM","en","United States","video_broadcast","","","0.09","2017-12-04"
"99777","http://www.alamogordonews.com/#spider","alamogordonews.com","USA","US-NM","en","United States","print_native","","","4.64","2017-12-04"
"662132","http://www.bizjournals.com/albuquerque/","Albuquerque Business First","USA","US-NM","en","United States","print_native","","","248.39","2013-06-10"
"99","http://www.abqjournal.com/","Albuquerque Journal ","USA","US-NM","en","United States","print_native","","","69.58","2011-05-09"
"662133","http://www.abqthemag.com/","Albuquerque the Magazine","USA","US-NM","en","","print_native","","","0.0","2016-07-25"
"80605","http://www.alibi.com/#spider","alibi.com","USA","US-NM","en","","print_native","","","0.03","2011-01-03"
"309726","http://artesianews.com/","artesianews.com","USA","US-NM","en","United States","print_native","","","34.79","2017-12-04"
"324387","http://corralescomment.com/","corralescomment.com","USA","US-NM","en","United States","print_native","","","0.0","2017-12-04"
"117410","http://currentargus.com/","currentargus.com","USA","US-NM","en","United States","print_native","","","4.76","2017-11-27"
"20095","http://www.daily-times.com","daily-times.com","USA","US-NM","en","United States","print_native","","","8.8","2018-08-20"
"64250","http://dailylobo.com/","dailylobo.com","USA","US-NM","en","United States","print_native","","","0.1","2013-04-29"
"164827","http://dchieftain.com/","dchieftain.com","USA","US-NM","en","","print_native","","","0.01","2016-05-09"
"662146","http://www.debacanews.com/","De Baca County News","USA","US-NM","","","print_native","","","0.0","2017-12-04"
"31194","http://www.demingheadlight.com#spider","demingheadlight.com","USA","US-NM","en","United States","print_native","","","10.67","2017-11-20"
"417276","http://desertexposure.com/","desertexposure.com","USA","US-NM","en","","print_native","","","0.0","2015-08-03"
"94757","http://gallupindependent.com/#spider","gallupindependent.com","USA","US-NM","en","","print_native","","","0.0","2012-10-15"
"662134","http://healthcitysun.com/","Health City Sun","USA","US-NM","en","United States","print_native","","","1.2","2017-11-27"
"211577","http://hobbsnews.com/","hobbsnews.com","USA","US-NM","en","United States","print_native","","","1.33","2017-12-04"
"649414","http://www.heraldpub.com","http://www.heraldpub.com/","USA","US-NM","en","","print_native","","","0.0","2017-12-25"
"662149","http://www.jalrecordonline.com/","Jal Record","USA","US-NM","en","","print_native","","","0.0","2017-12-04"
"537198","http://kafbnucleus.com/","kafbnucleus.com","USA","US-NM","en","","print_native","","","0.0","2017-07-31"
"96020","http://www.kasa.com/#spider","kasa.com","USA","US-NM","es","","video_broadcast","","","0.0","2017-12-04"
"145542","http://kluz.tv/","kluz.tv","USA","US-NM","es","United States","video_broadcast","","","15.07","2017-12-04"
"96459","http://www.koat.com/#spider","koat.com","USA","US-NM","en","United States","video_broadcast","","","39.54","2017-12-11"
"77604","http://kob.com/#spider","kob.com","USA","US-NM","en","United States","video_broadcast","","","16.91","2018-02-26"
"662145","http://www.kob.com/article/518/","KOBF","USA","US-NM","en","United States","video_broadcast","","","16.52","2018-02-26"
"662161","http://www.kob.com/article/519/","KOBR","USA","US-NM","en","United States","video_broadcast","","","16.42","2018-02-26"
"662160","https://www.krqe.com/","KRQE","USA","US-NM","en","United States","video_broadcast","","","48.79","2017-12-04"
"96605","http://www.krqe.com/#spider","krqe.com","USA","US-NM","en","United States","video_broadcast","","","48.98","2017-12-04"
"214420","http://krwg.org/","krwg.org","USA","US-NM","en","United States","video_broadcast","","","54.33","2017-12-04"
"311269","http://ksfr.org/","ksfr.org","USA","US-NM","en","United States","video_broadcast","","","1.86","2017-12-04"
"146446","http://kunm.org/","kunm.org","USA","US-NM","en","United States","video_broadcast","","","35.53","2017-12-04"
"106296","http://ladailypost.com/","ladailypost.com","USA","US-NM","en","United States","digital_native","","","0.32","2016-04-04"
"97345","http://www.lamonitor.com/#spider","lamonitor.com","USA","US-NM","en","United States","print_native","","","0.41","2016-04-04"
"662153","http://www.lascrucesbulletin.com/","Las Cruces Bulletin","USA","US-NM","en","United States","print_native","","","0.0","2017-11-27"
"324253","http://lasvegasoptic.com/","lasvegasoptic.com","USA","US-NM","en","","print_native","","","0.07","2014-09-01"
"78708","http://www.lcsun-news.com/#spider","lcsun-news.com","USA","US-NM","en","United States","print_native","","","15.3","2018-01-08"
"662155","http://www.lovingtonleaderonline.com/","Lovington Leader","USA","US-NM","en","","print_native","","","0.0","2017-12-04"
"662136","http://www.masnewmexico.com/index.php?lang=en","Mas New Mexico (English)","USA","US-NM","en","","print_native","","","0.0","2016-12-19"
"662137","http://www.masnewmexico.com/index.php?lang=es","Mas New Mexico (Spanish)","USA","US-NM","es","","print_native","","","0.0","2016-12-19"
"662167","http://www.mountaintimes.net/","Mountain Times - United States - New Mexico","USA","US-NM","en","","print_native","","","0.0","2017-12-04"
"315098","http://newmexico.statenews.net/","newmexico.statenews.net","USA","US-NM","en","United States","digital_native","","","37.32","2018-04-30"
"324431","http://news-bulletin.com/","news-bulletin.com","USA","US-NM","en","","print_native","","","0.0","2015-10-26"
"226980","http://nmmagazine.com/","nmmagazine.com","USA","US-NM","en","","print_native","","","0.0","2018-03-26"
"588485","http://nmsuroundup.com/","nmsuroundup.com","USA","US-NM","en","United States","print_native","","","1.7","2017-11-27"
"662162","http://www.santafenewmexican.com/pasatiempo/","Pasatiempo","USA","US-NM","en","United States","print_native","","","0.04","2015-08-17"
"662139","https://archdiosf.org/people-of-god-magazine","People of God","USA","US-NM","","","print_native","","","0.01","2017-12-04"
"324421","http://qcsunonline.com/","qcsunonline.com","USA","US-NM","en","United States","print_native","","","2.79","2017-12-04"
"320935","http://rdrnews.com/","rdrnews.com","USA","US-NM","en","United States","print_native","","","11.06","2017-12-04"
"662159","http://www.redriverminer.com/","Red River Miner","USA","US-NM","en","","print_native","","","0.0","2015-07-20"
"101349","http://www.riograndesun.com/#spider","riograndesun.com","USA","US-NM","en","","print_native","","","0.07","2017-06-12"
"126265","http://rrobserver.com/","rrobserver.com","USA","US-NM","en","","print_native","","","0.0","2013-12-30"
"324463","http://ruidosonews.com/","ruidosonews.com","USA","US-NM","en","United States","print_native","","","3.5","2017-12-04"
