media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"662390","http://www.ncatregister.com/","A and T Register","USA","US-NC","en","United States","print_native","","","0.98","2017-12-04"
"115865","http://abc11.com/","abc11.com","USA","US-NC","en","United States","video_broadcast","","","58.48","2017-12-11"
"662432","http://www.alleghanynews.com/","Alleghany News","USA","US-NC","en","","print_native","","","0.0","2016-03-14"
"662347","http://www.theandrewsjournal.com/","Andrews Journal","USA","US-NC","en","United States","print_native","","","2.81","2019-09-23"
"662443","http://www.ansonrecord.com/","Anson Record","USA","US-NC","en","United States","print_native","","","1.7","2017-12-04"
"662348","http://www.atnonline.net/","Archdale Trinity News","USA","US-NC","en","United States","print_native","","","0.0","2017-10-02"
"662447","http://ashemountaintimes.com/home","Ashe Mountain Times","USA","US-NC","en","","print_native","","","0.01","2015-03-02"
"322163","https://www.ashepostandtimes.com/","Ashe Post and Times","USA","US-NC","","","print_native","","","0.01","2012-04-16"
"96868","http://www.beaufortobserver.net/#spider","beaufortobserver.net","USA","US-NC","en","","print_native","","","0.0","2011-12-12"
"662351","http://www.blackmountainnews.com/","Black Mountain News","USA","US-NC","en","United States","print_native","","","0.01","2016-10-31"
"322585","http://bladenjournal.com/","bladenjournal.com","USA","US-NC","en","United States","print_native","","","7.03","2017-12-04"
"662352","http://www.blowingrocket.com/home","Blowing Rocket","USA","US-NC","en","United States","print_native","","","0.07","2017-11-20"
"662349","http://thebluebanner.net/","Blue Banner","USA","US-NC","en","United States","print_native","","","0.78","2017-11-27"
"93925","http://www.brnow.org/#spider","brnow.org","USA","US-NC","en","United States","print_native","","","0.07","2017-11-27"
"537355","http://brunswickbeacon.com/","brunswickbeacon.com","USA","US-NC","en","United States","print_native","","","1.48","2018-09-17"
"659246","http://www.bizjournals.com/triad/","Business Journal - United States - North Carolina","USA","US-NC","en","United States","print_native","","","250.53","2017-12-04"
"662370","http://www.granvilleonline.com/","Butner Creedmoor News","USA","US-NC","en","","print_native","","","0.0","2019-09-16"
"662355","http://thecampbelltimes.com/","Campbell Times","USA","US-NC","none","United States","print_native","","","0.0","2018-03-19"
"133679","http://campusecho.com/","campusecho.com","USA","US-NC","en","United States","print_native","","","0.31","2017-11-06"
"223907","http://carolinacoastonline.com/","carolinacoastonline.com","USA","US-NC","en","United States","print_native","","","0.14","2012-01-23"
"113519","http://carolinapublicpress.org/","carolinapublicpress.org","USA","US-NC","en","United States","digital_native","","","1.57","2017-07-24"
"662361","http://www.carrborocitizen.com/main/","Carrboro Citizen","USA","US-NC","en","","print_native","","","0.0","2012-08-27"
"662414","http://www.carolinacoastonline.com/news_times/","Carteret County News Times","USA","US-NC","en","United States","print_native","","","15.02","2017-11-27"
"662452","http://www.caswellmessenger.com/","Caswell Messenger","USA","US-NC","en","United States","print_native","","","0.28","2017-01-16"
"97547","http://www.catholicnewsherald.com/#spider","catholicnewsherald.com","USA","US-NC","en","United States","print_native","","","0.1","2018-08-27"
"662363","http://www.bizjournals.com/charlotte/","Charlotte Business Journal","USA","US-NC","en","United States","print_native","","","257.92","2013-06-10"
"362429","http://charlotte.quepasanoticias.com/","charlotte.quepasanoticias.com","USA","US-NC","es","United States","print_native","","","2.87","2017-01-09"
"456513","http://charlotteagenda.com/","charlotteagenda.com","USA","US-NC","en","","digital_native","","","0.16","2015-04-13"
"330527","http://charlottefive.com/","charlottefive.com","USA","US-NC","en","United States","digital_native","","","0.0","2017-12-04"
"24775","http://www.charlotteobserver.com","charlotteobserver.com","USA","US-NC","en","United States","print_native","","","75.61","2015-03-30"
"662430","http://www.thechathamnews.com/","Chatham News","USA","US-NC","en","","print_native","","","0.0","2012-06-25"
"304892","http://chathamjournal.com/","chathamjournal.com","USA","US-NC","en","United States","print_native","","","1.14","2018-01-01"
"662416","http://www.thecherokeescout.com/","Cherokee Scout","USA","US-NC","en","United States","print_native","","","2.74","2019-09-16"
"76013","http://www.citizen-times.com/#spider","citizen-times.com","USA","US-NC","en","United States","print_native","","","13.86","2018-08-27"
"537507","http://claycountyprogress.com/","claycountyprogress.com","USA","US-NC","en","United States","print_native","","","1.7","2019-09-30"
"662368","http://www.claytonnewsstar.com/","Clayton News Star","USA","US-NC","en","","print_native","","","0.0","2017-05-15"
"126270","http://clclt.com/","clclt.com","USA","US-NC","en","United States","print_native","","","0.87","2017-11-27"
"662369","https://www.clemmonscourier.net/","Clemmons Courier","USA","US-NC","","","print_native","","","0.0","2017-12-11"
"153485","http://clintonnc.com/","clintonnc.com","USA","US-NC","en","United States","print_native","","","6.58","2017-12-04"
"187525","http://courier-tribune.com/","courier-tribune.com","USA","US-NC","en","United States","print_native","","","38.57","2017-12-04"
