media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"542928","http://advocate-online.net/","advocate-online.net","USA","US-OR","en","United States","print_native","","","0.39","2017-11-27"
"178473","http://argusobserver.com/","argusobserver.com","USA","US-OR","en","United States","print_native","","","0.04","2013-02-18"
"662794","http://www.asianreporter.com/","Asian Reporter","USA","US-OR","en","","print_native","","","0.0","2017-12-04"
"195204","http://bakercityherald.com/","bakercityherald.com","USA","US-OR","en","United States","print_native","","","0.02","2014-01-20"
"662739","http://theworldlink.com/bandon/","Bandon Western World","USA","US-OR","en","United States","print_native","","","0.22","2018-09-10"
"662740","http://portlandtribune.com/beaverton-valley-times-news/","Beaverton Valley Times","USA","US-OR","en","","print_native","","","0.0","2020-04-29"
"22935","http://www.bendbulletin.com","bendbulletin.com","USA","US-OR","en","United States","print_native","","","0.21","2012-08-13"
"317029","http://bendsource.com/","bendsource.com","USA","US-OR","en","United States","print_native","","","4.2","2017-12-04"
"123149","http://bendweekly.com/","bendweekly.com","USA","US-OR","en","","print_native","","","0.01","2017-02-20"
"732","http://www.blueoregon.com/","Blue Oregon","USA","US-OR","en","United States","digital_native","","","0.01","2011-01-03"
"487644","http://bluemountaineagle.com/","bluemountaineagle.com","USA","US-OR","en","United States","print_native","","","0.07","2014-10-13"
"659247","http://www.bizjournals.com/portland/","Business Journal - United States - Oregon","USA","US-OR","en","United States","print_native","","","256.24","2017-12-04"
"1392","http://canbyherald.com/","canby herald","USA","US-OR","en","United States","print_native","","","59.72","2015-09-14"
"662743","http://www.cannonbeachgazette.com/","Cannon Beach Gazette","USA","US-OR","en","United States","print_native","","","0.01","2018-09-10"
"30354","http://www.capitalpress.com#spider","capitalpress.com","USA","US-OR","en","United States","print_native","","","0.06","2017-12-04"
"662741","http://www.cascadebusnews.com/","Cascade Business News","USA","US-OR","en","United States","print_native","","","4.69","2017-12-18"
"134416","http://cascadepolicy.org/","cascadepolicy.org","USA","US-OR","en","United States","digital_native","","","0.23","2012-04-16"
"112269","http://catholicsentinel.org/","catholicsentinel.org","USA","US-OR","en","United States","print_native","","","0.07","2016-04-18"
"662795","http://cnnw.com/","Christian News Northwest","USA","US-OR","en","United States","print_native","","","0.16","2017-10-30"
"653196","http://www.thechronicleonline.com/","Chronicle - United States - Oregon","USA","US-OR","en","","print_native","","","0.04","2017-04-17"
"662788","http://www.theclackamasprint.net/","Clackamas Print","USA","US-OR","en","United States","print_native","","","0.47","2017-11-20"
"662783","https://portlandtribune.com/clackamas-review-home","Clackamas Review","USA","US-OR","","","print_native","","","0.0","2020-04-29"
"662736","http://www.crbizjournal.com/","Coast River Business Journal","USA","US-OR","en","United States","print_native","","","0.0","2017-11-06"
"662819","http://www.thecolumbiapress.com/","Columbia Press","USA","US-OR","en","","print_native","","","0.0","2019-05-13"
