media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"277996","http://1140wrva.iheart.com/","1140wrva.iheart.com","USA","US-VA","en","United States","video_broadcast","","","0.0","2016-08-29"
"158263","http://13newsnow.com/","13newsnow.com","USA","US-VA","en","United States","video_broadcast","","","26.78","2015-09-28"
"663784","http://www.alexandriagazette.com/","Alexandria Gazette Packet","USA","US-VA","en","","print_native","","","0.01","2016-04-25"
"511629","http://alexandrianews.org/","alexandrianews.org","USA","US-VA","en","United States","digital_native","","","0.09","2017-12-04"
"269779","http://alextimes.com/","alextimes.com","USA","US-VA","en","United States","print_native","","","1.82","2017-12-04"
"663787","http://www.altavistajournal.com/","Altavista Journal","USA","US-VA","en","United States","print_native","","","0.16","2017-04-10"
"443282","http://annandaleva.blogspot.com/","annandaleva.blogspot.com","USA","US-VA","en","United States","digital_native","","","2.04","2013-05-13"
"226148","http://arlingtonconnection.com/","arlingtonconnection.com","USA","US-VA","en","","print_native","","","0.0","2014-06-30"
"114318","http://arlnow.com/","arlnow.com","USA","US-VA","en","United States","digital_native","","","7.88","2017-12-04"
"661999","http://www.bedfordbulletin.com/","Bedford Bulletin - United States - Virginia","USA","US-VA","en","United States","print_native","","","1.13","2018-10-01"
"663815","http://www.belvoireagleonline.com/","Belvoir Eagle","USA","US-VA","en","","print_native","","","0.02","2020-02-03"
"663796","http://www.swvatoday.com/news/bland_county/","Bland County Messenger","USA","US-VA","en","United States","print_native","","","3.29","2017-10-16"
"133755","http://breezejmu.org/","breezejmu.org","USA","US-VA","en","United States","print_native","","","0.02","2011-02-21"
"396910","http://bristowbeat.com/","bristowbeat.com","USA","US-VA","en","United States","digital_native","","","1.62","2017-12-04"
"257708","http://brleader.com/","brleader.com","USA","US-VA","en","United States","print_native","","","0.99","2017-12-04"
"663829","http://www.brunswicktimes-gazette.com/","Brunswick Times Gazette","USA","US-VA","en","United States","print_native","","","0.16","2015-12-14"
"663836","http://www.bullrunnow.com/","Bull Run Now","USA","US-VA","en","United States","digital_native","","","2.22","2017-12-04"
"663834","http://www.newsadvance.com/the_burg/","Burg","USA","US-VA","en","","print_native","","","0.01","2012-10-01"
"663799","http://www.burkeconnection.com/","Burke Connection","USA","US-VA","en","United States","print_native","","","0.0","2017-12-04"
"1579","http://www.c-ville.com","c-ville","USA","US-VA","en","United States","print_native","","","2.2","2015-09-14"
"663824","http://thecarrollnews.com/","Carroll News","USA","US-VA","en","United States","print_native","","","1.06","2017-12-04"
"115811","http://catholicherald.com/","catholicherald.com","USA","US-VA","en","United States","print_native","","","1.6","2017-11-13"
"267375","http://catholicvirginian.org/","catholicvirginian.org","USA","US-VA","en","","print_native","","","0.02","2015-01-19"
"1602","http://www.cavalierdaily.com","cavalier daily","USA","US-VA","en","United States","print_native","","","0.12","2014-11-17"
"663800","http://ourvalley.org/category/newspapers/cave-spring-connection/","Cave Spring Connection","USA","US-VA","en","United States","print_native","","","3.77","2017-12-04"
"92362","https://www.cbs19news.com","CBS19 News","USA","US-VA","en","United States","video_broadcast","","","0.0","2018-10-01"
"663801","http://www.centre-view.com/","Centre View","USA","US-VA","en","","print_native","","","0.0","2017-07-31"
"663808","http://www.thecharlottegazette.org/","Charlotte Gazette","USA","US-VA","en","","print_native","","","0.0","2018-06-04"
"1608","http://www.dailyprogress.com","charlottesville daily progress","USA","US-VA","en","United States","print_native","","","0.0","2011-01-03"
"663877","http://www.chesapeakestyle.com/","Chesapeake Style","USA","US-VA","en","","print_native","","","0.0","2017-12-04"
"1540","http://www.chesterfieldobserver.com","chesterfield observer","USA","US-VA","en","United States","print_native","","","1.7","2015-09-07"
"119775","http://chesterfieldmonthly.com/","chesterfieldmonthly.com","USA","US-VA","en","","print_native","","","0.0","2013-10-28"
"663863","https://clinchvalleytimes.net/","Clinch Valley Times","USA","US-VA","en","United States","print_native","","","0.09","2018-09-24"
"663850","http://www.thecoalfieldprogress.com/","Coalfield","USA","US-VA","en","","digital_native","","","0.0","2017-05-22"
"154029","http://coastalvirginiamag.com/","coastalvirginiamag.com","USA","US-VA","en","United States","print_native","","","0.04","2017-07-17"
"85573","http://www.collegiatetimes.com/#spider","collegiatetimes.com","USA","US-VA","en","","print_native","","","0.03","2011-02-07"
"207180","http://commonwealthtimes.org/","commonwealthtimes.org","USA","US-VA","en","United States","print_native","","","1.7","2017-12-04"
"543617","http://connect2mason.com/","connect2mason.com","USA","US-VA","en","","print_native","","","0.0","2014-03-03"
"663839","http://www.connection-sports.com/","Connection Sports","USA","US-VA","pt","United States","digital_native","","","39.42","2018-08-27"
"134147","http://connectionnewspapers.com/","connectionnewspapers.com","USA","US-VA","pt","United States","digital_native","","","37.84","2018-08-27"
"663795","http://www.courier-record.com/","Courier Record","USA","US-VA","en","United States","print_native","","","0.0","2017-12-04"
"538100","http://crozetgazette.com/","crozetgazette.com","USA","US-VA","en","United States","print_native","","","0.48","2017-10-30"
"663805","http://culpepertimes.com/","Culpeper Times","USA","US-VA","en","United States","print_native","","","1.56","2017-11-27"
"663806","http://www.richmond.com/news/local/central-virginia/cumberland/","Cumberland Today","USA","US-VA","","","print_native","","","0.0","2011-01-17"
"153444","http://cvilletomorrow.org/","cvilletomorrow.org","USA","US-VA","en","United States","digital_native","","","1.53","2017-12-04"
"26793","http://www.dailypress.com","dailypress.com","USA","US-VA","en","United States","print_native","","","6.34","2017-12-04"
"663870","http://www.thedinwiddiemonitor.com/","Dinwiddie Monitor","USA","US-VA","en","","print_native","","","0.01","2016-05-16"
"171030","http://dnronline.com/","dnronline.com","USA","US-VA","en","","print_native","","","0.08","2014-09-01"
"663871","http://www.easternshorepost.com/","Eastern Shore Post","USA","US-VA","en","United States","print_native","","","2.88","2019-08-26"
"660324","http://theenterprise.net/","Enterprise - United States - Virginia","USA","US-VA","en","United States","print_native","","","2.06","2019-07-29"
"663807","http://evincemagazine.com/","Evince","USA","US-VA","en","","print_native","","","0.03","2018-03-12"
"663811","http://www.fairfaxconnection.com/","Fairfax Connection","USA","US-VA","en","United States","print_native","","","0.01","2017-06-12"
"650047","http://www.fairfaxstationconnection.com/","Fairfax Station Connection","USA","US-VA","en","Virginia","print_native","","","0.0","2017-12-04"
"115608","http://fairfaxtimes.com/","fairfaxtimes.com","USA","US-VA","en","","print_native","","","0.04","2014-02-03"
