media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"396967","http://800wvhu.iheart.com/","800wvhu.iheart.com","USA","US-WV","en","United States","video_broadcast","","","0.36","2018-04-16"
"664027","http://www.barbourdemocratwv.com/","Barbour Democrat","USA","US-WV","en","","print_native","","","0.0","2017-12-04"
"25904","http://bdtonline.com","bdtonline.com","USA","US-WV","en","","print_native","","","0.1","2012-08-27"
"664035","http://www.bcn-news.com/","Braxton Citizens' News - Devoted to Braxton County","USA","US-WV","en","","print_native","","","0.0","2018-02-12"
"659709","https://www.wvnews.com/bridgeportnews/","Bridgeport News ","USA","US-WV","en","United States","print_native","","","12.4","2018-10-01"
"224973","http://calhounchronicle.com/","calhounchronicle.com","USA","US-WV","en","United States","print_native","","","0.03","2018-08-06"
"661557","http://thecatholicspiritwv.org/","Catholic Spirit - United States - West Virginia","USA","US-WV","en","United States","print_native","","","0.68","2017-11-27"
"664006","https://claycountyfreepress.com/","Clay County Free Press","USA","US-WV","en","United States","print_native","","","0.03","2017-12-04"
"147855","http://coalvalleynews.com/","coalvalleynews.com","USA","US-WV","en","United States","print_native","","","0.0","2018-10-01"
"655198","http://www.concordianonline.com/","Concordian - United States - West Virginia","USA","US-WV","en","United States","print_native","","","0.0","2017-09-18"
"664002","http://www.connect-bridgeport.com/","Connect Bridgeport","USA","US-WV","en","United States","digital_native","","","10.52","2018-08-20"
"90868","http://www.dominionpost.com/#spider","dominionpost.com","USA","US-WV","en","United States","print_native","","","20.79","2018-08-27"
"323204","http://www.sfgate.com/rss/feed/Entertainment-530.php","Entertainment","USA","US-WV","en","United States","print_native","","","2.26","2016-11-21"
"376839","http://fayettetribune.com/","fayettetribune.com","USA","US-WV","en","","print_native","","","0.01","2016-06-13"
"664012","http://www.smalltownpapers.com/newspapers/newspaper.php?id=142","Glenville Democrat","USA","US-WV","en","","print_native","","","0.0","2017-12-04"
"650055","http://www.glenvillenews.com/","Glenville, WV's Award-Winning News Source!","USA","US-WV","en","United States","print_native","","","0.02","2017-11-20"
"537827","http://grafwv.com/","grafwv.com","USA","US-WV","en","","print_native","","","0.02","2018-09-24"
"664025","http://www.grantcountypress.com/","Grant County Press, Petersburg, WV","USA","US-WV","en","United States","print_native","","","0.72","2018-08-27"
"340092","http://hampshirereview.com/","hampshirereview.com","USA","US-WV","en","United States","print_native","","","1.56","2017-10-09"
"92445","http://www.herald-dispatch.com/#spider","herald-dispatch.com","USA","US-WV","en","United States","print_native","","","0.16","2012-12-10"
"664016","http://www.huntingtonquarterly.com/","Huntington Quarterly","USA","US-WV","en","United States","print_native","","","0.11","2018-11-05"
"500057","http://hurherald.com/","hurherald.com","USA","US-WV","en","","print_native","","","0.0","2018-04-16"
"663155","http://www.independentherald.com/","Independent Herald - United States - West Virginia","USA","US-WV","en","United States","print_native","","","0.38","2018-10-01"
"332815","http://jacksonnewspapers.com/","jacksonnewspapers.com","USA","US-WV","en","United States","print_native","","","23.56","2017-11-27"
"112607","http://journal-news.net/","journal-news.net","USA","US-WV","en","United States","print_native","","","0.07","2011-01-03"
"659584","https://mountainmessenger.com/","Lewisburg, Greenbrier County WV News | Mountain Messenger","USA","US-WV","en","United States","print_native","","","0.67","2017-11-27"
"660012","http://lincolnjournalinc.com/","Lincoln Journal - United States - West Virginia","USA","US-WV","en","United States","print_native","","","4.41","2017-11-13"
"664014","http://www.lincolnnewssentinel.com/","Lincoln News Sentinel","USA","US-WV","en","United States","print_native","","","0.01","2017-12-04"
"244175","http://loganbanner.com/","loganbanner.com","USA","US-WV","en","","print_native","","","0.02","2019-05-06"
