media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"230759","http://1070wapi.com/","1070wapi.com","USA","US-AL","en","","video_broadcast","","","0.01","2012-11-26"
"658874","http://www.49countynews.net/","49 County News","USA","US-AL","pt","United States","digital_native","","","38.51","2018-08-27"
"29680","http://www.abc3340.com#spider","abc3340.com","USA","US-AL","en","United States","video_broadcast","","","2.51","2016-12-05"
"540258","http://advertisergleam.com/","advertisergleam.com","USA","US-AL","en","United States","print_native","","","1.07","2017-10-02"
"24725","http://www.al.com","al.com","USA","US-AL","en","United States","digital_native","","","6.19","2013-06-03"
"658896","http://www.alabamagazette.com/","Alabama Gazette","USA","US-AL","en","United States","print_native","","","0.64","2017-12-04"
"312802","http://alabama.statenews.net/","alabama.statenews.net","USA","US-AL","en","United States","digital_native","","","41.59","2018-04-30"
"475010","http://alabamanews.net/","alabamanews.net","USA","US-AL","en","United States","video_broadcast","","","15.64","2017-12-04"
"431667","http://alabamanewscenter.com/","alabamanewscenter.com","USA","US-AL","en","United States","digital_native","","","7.19","2015-06-01"
"114103","http://alaskacommons.com/","alaskacommons.com","USA","US-AK","","","digital_native","","","0.0","2013-02-18"
"203048","http://alexcityoutlook.com/","alexcityoutlook.com","USA","US-AL","en","","print_native","","","0.07","2014-07-28"
"126916","http://andalusiastarnews.com/","andalusiastarnews.com","USA","US-AL","en","","print_native","","","0.27","2020-02-10"
"28913","http://www.annistonstar.com#spider","annistonstar.com","USA","US-AL","en","United States","print_native","","","0.53","2013-11-18"
"109301","http://apr.org/","apr.org","USA","US-AL","en","United States","video_broadcast","","","47.49","2017-12-04"
"658870","http://www.dothaneagle.com/army_flier/","Army Flier","USA","US-AL","en","","print_native","","","0.0","2014-05-26"
"571080","http://atmorenews.com/","atmorenews.com","USA","US-AL","en","United States","print_native","","","1.61","2017-11-20"
"286199","http://auburnvillager.com/","auburnvillager.com","USA","US-AL","en","none","print_native","","","0.0","2014-09-08"
"658850","http://www.bizjournals.com/birmingham/","Birmingham Business Journal","USA","US-AL","en","United States","print_native","","","254.17","2013-06-10"
"658851","http://www.al.com/bhammag/","Birmingham Magazine","USA","US-AL","en","United States","print_native","","","0.0","2017-11-20"
"658852","http://www.birminghamnews.net/","Birmingham News as it Happens from Birmingham News.Net","USA","US-AL","en","United States","digital_native","","","43.13","2018-04-30"
"658853","http://www.birminghamstar.com/","Birmingham Star","USA","US-AL","en","United States","digital_native","","","0.72","2018-02-19"
"538865","http://blountcountian.com/","blountcountian.com","USA","US-AL","en","United States","print_native","","","1.48","2018-07-30"
"658894","http://www.mobilearchdiocese.org/catholicweek/","Catholic Week","USA","US-AL","en","","print_native","","","0.04","2014-05-26"
"658883","https://thechanticleer.wordpress.com/","Chanticleer","USA","US-AL","en","United States","print_native","","","0.77","2017-11-13"
"658879","http://chargertimes.org/","Charger Times","USA","US-AL","en","","print_native","","","0.0","2017-11-06"
"648748","http://www.beachbecky.com","Chilton County News","USA","US-AL","en","","print_native","","","0.0","2018-03-19"
"110463","http://clantonadvertiser.com/","clantonadvertiser.com","USA","US-AL","en","","print_native","","","0.12","2020-03-23"
"658911","http://www.theclarion.org/","Clarion - United States - Alabama","USA","US-AL","en","United States","print_native","","","0.01","2017-10-16"
"648762","http://www.clarkecountydemocrat.com","Clarke County Democrat","USA","US-AL","en","United States","print_native","","","2.02","2017-11-20"
"658888","http://www.claytimesjournal.com/","Clay Times Journal","USA","US-AL","en","United States","print_native","","","0.0","2018-08-06"
"658860","http://csgonline.com/","Community Shopper's Guide","USA","US-AL","en","","print_native","","","0.0","2013-07-22"
"658847","http://www.oanow.com/the_corner_news/","Corner","USA","US-AL","en","","print_native","","","0.0","2017-05-22"
"378644","http://courierjournal.net/","courierjournal.net","USA","US-AL","en","","print_native","","","0.0","2016-08-29"
"467614","http://cullmansense.com/","cullmansense.com","USA","US-AL","en","United States","digital_native","","","11.16","2017-12-04"
"74969","http://www.cullmantimes.com/#spider","cullmantimes.com","USA","US-AL","en","","print_native","","","0.07","2013-08-12"
"113096","http://cw.ua.edu/","cw.ua.edu","USA","US-AL","en","United States","print_native","","","3.39","2018-07-09"
"658914","http://www.annistonstar.com/the_daily_home/","Daily Home","USA","US-AL","en","United States","print_native","","","9.26","2016-10-24"
"658861","http://www.southeastsun.com/daleville/","Daleville Sun Courier","USA","US-AL","en","United States","print_native","","","1.04","2019-10-28"
"54126","http://www.decaturdaily.com/#spider","decaturdaily.com","USA","US-AL","en","United States","print_native","","","0.16","2012-04-30"
"232549","http://demopolistimes.com/","demopolistimes.com","USA","US-AL","en","","print_native","","","0.04","2020-04-06"
"658862","http://www.dothaneagle.com/news/dothan_progress/","Dothan Progress","USA","US-AL","en","United States","print_native","","","0.2","2015-01-12"
"160783","http://dothaneagle.com/","dothaneagle.com","USA","US-AL","en","United States","print_native","","","0.06","2011-11-14"
"86225","http://dothanfirst.com/#spider","dothanfirst.com","USA","US-AL","en","United States","video_broadcast","","","7.81","2019-12-02"
"658864","http://www.elba-clipper.com/","Elba Clipper","USA","US-AL","en","","print_native","","","0.0","2018-12-03"
"82070","http://enewscourier.com/#spider","enewscourier.com","USA","US-AL","en","","print_native","","","0.12","2013-07-15"
"658865","http://www.dothaneagle.com/enterprise_ledger/","Enterprise Ledger","USA","US-AL","en","United States","print_native","","","0.03","2015-05-18"
"648777","http://www.eufaulatribune.com","Eufaula Tribune","USA","US-AL","en","United States","print_native","","","0.13","2017-07-10"
"658866","http://thefairhopetimes.blogspot.com/","Fairhope Times","USA","US-AL","en","United States","digital_native","","","0.66","2017-10-30"
"658869","http://www.florala.net/","Flor Ala","USA","US-AL","en","United States","print_native","","","0.03","2015-08-17"
"26211","http://www.fox10tv.com","fox10tv.com","USA","US-AL","en","United States","video_broadcast","","","0.87","2015-10-26"
"658910","http://www.franklinfreepress.net/","Franklin Free Press","USA","US-AL","en","","digital_native","","","0.01","2018-06-18"
"90007","http://www.gadsdentimes.com/#spider","gadsdentimes.com","USA","US-AL","en","United States","print_native","","","91.51","2016-05-23"
"103521","https://greenecodemocrat.com/","Greene County Democrat","USA","US-AL","en","United States","print_native","","","1.11","2014-05-19"
"434669","http://gulfcoastnewstoday.com/","gulfcoastnewstoday.com","USA","US-AL","en","","digital_native","","","0.0","2017-07-03"
