media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"317842","http://650keni.iheart.com/","650keni.iheart.com","USA","US-AK","en","United States","video_broadcast","","","0.28","2016-09-05"
"566272","http://970kfbx.iheart.com/","970kfbx.iheart.com","USA","US-AK","en","United States","video_broadcast","","","0.59","2018-05-28"
"25064","http://www.adn.com","adn.com","USA","US-AK","en","United States","print_native","","","1.87","2013-06-10"
"187341","http://akbizmag.com/","akbizmag.com","USA","US-AK","en","United States","print_native","","","1.39","2017-12-04"
"658922","http://www.alaskamagazine.com/","Alaska","USA","US-AK","en","United States","print_native","","","0.26","2017-11-13"
"658923","http://www.aknewsfeed.com/","Alaska News","USA","US-AK","en","Alaska","digital_native","","","0.08","2017-10-30"
"658938","https://www.dvidshub.net/publication/561/alaska-post","Alaska Post","USA","US-AK","en","United States","print_native","","","458.34","2017-12-04"
"131687","http://alaska-native-news.com/","alaska-native-news.com","USA","US-AK","en","United States","digital_native","","","5.69","2017-12-04"
"195518","http://alaskajournal.com/","alaskajournal.com","USA","US-AK","en","United States","print_native","","","1.19","2017-12-04"
"101499","http://www.alaskapublic.org/#spider","alaskapublic.org","USA","US-AK","en","United States","video_broadcast","","","9.64","2017-11-27"
"174130","http://alaskastar.com/","alaskastar.com","USA","US-AK","en","United States","print_native","","","0.69","2017-12-04"
"149793","http://anchoragepress.com/","anchoragepress.com","USA","US-AK","en","United States","print_native","","","0.03","2015-03-02"
"339750","http://apeonline.org/","apeonline.org","USA","US-AK","en","United States","digital_native","","","0.79","2016-12-05"
"609233","http://apradio.org/","apradio.org","USA","US-AK","en","United States","video_broadcast","","","0.99","2017-12-11"
"658943","https://www.dvidshub.net/publication/397/arctic-warrior","Arctic Warrior","USA","US-AK","en","United States","print_native","","","457.09","2017-12-04"
"658927","http://thebiglaketimes.com/","Big Lake Times","USA","US-AK","en","United States","digital_native","","","0.0","2017-11-27"
"421269","http://capitalcityweekly.com/","capitalcityweekly.com","USA","US-AK","en","United States","print_native","","","0.0","2015-05-11"
"117747","http://catholicanchor.org/","catholicanchor.org","USA","US-AK","en","United States","print_native","","","0.37","2017-11-27"
"658941","http://www.chilkatvalleynews.com/","Chilkat Valley News","USA","US-AK","en","United States","print_native","","","2.83","2017-11-27"
"658929","http://www.thecordovatimes.com/","Cordova Times","USA","US-AK","en","United States","print_native","","","5.18","2018-08-06"
"658926","http://www.deltadiscovery.com/","Delta Discovery","USA","US-AK","en","United States","print_native","","","2.44","2017-11-27"
"658930","http://www.deltanewsweb.com/","Delta News Web","USA","US-AK","en","United States","digital_native","","","2.22","2017-12-04"
"658931","http://www.deltawindonline.com/","Delta Wind","USA","US-AK","en","","print_native","","","0.0","2020-04-29"
"657815","http://peninsulaclarion.com/dispatch","Dispatch - United States - Alaska","USA","US-AK","en","","print_native","","","0.0","2017-09-04"
"658932","http://www.thedutchharborfisherman.com/","Dutch Harbor Fisherman","USA","US-AK","en","United States","print_native","","","1.3","2017-12-04"
"658933","http://www.esterrepublic.com/","Ester Republic","USA","US-AK","none","none","print_native","","","0.0","2018-02-12"
"100414","http://www.frontiersman.com/#spider","frontiersman.com","USA","US-AK","en","United States","print_native","","","0.04","2013-04-08"
"222240","http://homernews.com/","homernews.com","USA","US-AK","en","United States","print_native","","","3.44","2017-11-27"
"254848","http://homertribune.com/","homertribune.com","USA","US-AK","en","United States","print_native","","","0.0","2017-12-04"
