media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"358113","http://1041kqth.com/","1041kqth.com","USA","US-AZ","en","United States","video_broadcast","","","0.26","2016-10-03"
"267108","http://12news.com/","12news.com","USA","US-AZ","en","United States","video_broadcast","","","26.21","2016-09-12"
"25612","http://www.abc15.com","abc15.com","USA","US-AZ","en","United States","video_broadcast","","","3.84","2016-11-07"
"53905","http://www.ahwatukee.com/#spider","ahwatukee.com","USA","US-AZ","en","","print_native","","","0.0","2012-10-08"
"649893","http://www.ajnews.com/","AJ Gold Canyon News – Your Hometown Newspaper","USA","US-AZ","en","United States","print_native","","","0.0","2017-11-27"
"564798","http://apachejunctionindependent.com/","apachejunctionindependent.com","USA","US-AZ","en","United States","print_native","","","0.0","2017-11-27"
"659021","http://www.arcadianews.com/","Arcadia News","USA","US-AZ","en","United States","print_native","","","0.66","2017-07-31"
"659055","http://azbilingual.com/","Arizona Bilingual","USA","US-AZ","none","United States","print_native","","","1.21","2017-11-20"
"659013","http://www.arizonabusinessgazette.com/","Arizona Business Gazette","USA","US-AZ","en","United States","print_native","","","173.56","2015-01-12"
"658990","http://www.azfreepress.com/","Arizona Free Press","USA","US-AZ","en","","print_native","","","0.0","2018-03-26"
"659064","https://www.willcoxrangenews.com/","Arizona Range News","USA","US-AZ","en","United States","print_native","","","0.01","2016-08-08"
"658991","http://www.silverbelt.com/","Arizona Silver Belt","USA","US-AZ","en","United States","print_native","","","0.0","2017-02-27"
"307431","http://arizona.statenews.net/","arizona.statenews.net","USA","US-AZ","en","United States","digital_native","","","36.62","2018-04-30"
"288004","http://arizonaherald.com/","arizonaherald.com","USA","US-AZ","en","United States","digital_native","","","10.36","2018-08-06"
"652964","http://asiatodayaz.com/","Asia Today - United States","USA","US-AZ","en","","print_native","","","0.0","2017-12-04"
"659014","http://asianamericantimes.us/","Asian American Times","USA","US-AZ","zh","","print_native","","","0.0","2018-02-12"
"659034","http://www.srpmic-nsn.gov/community/auauthm/","Au Authm Action News","USA","US-AZ","en","","print_native","","","0.0","2018-01-29"
"158115","https://www.azcentral.com/","AZ Central","USA","US-AZ","en","United States","print_native","","","174.68","2018-08-06"
"53094","http://azcapitoltimes.com/#spider","azcapitoltimes.com","USA","US-AZ","en","United States","print_native","","","3.28","2016-11-07"
"25128","http://www.azcentral.com","AZCentral","USA","US-AZ","en","United States","digital_native","","","173.66","2015-09-14"
"26100","http://azdailysun.com","azdailysun.com","USA","US-AZ","en","United States","print_native","","","8.9","2018-08-06"
"25740","http://www.azfamily.com","azfamily.com","USA","US-AZ","en","United States","video_broadcast","","","2.72","2015-08-17"
"104294","http://www.azinformant.com","Azinformant.com | We Record Black History","USA","US-AZ","en","United States","print_native","","","0.04","2014-05-26"
"108116","http://azjewishpost.com/","azjewishpost.com","USA","US-AZ","en","United States","print_native","","","4.38","2017-12-04"
"53518","http://www.azpbs.org/#spider","azpbs.org","USA","US-AZ","en","United States","video_broadcast","","","2.04","2016-07-18"
"129919","https://news.azpm.org/","azpm.org","USA","US-AZ","en","United States","video_broadcast","","","0.19","2015-03-30"
"305774","http://aztecpressonline.com/","aztecpressonline.com","USA","US-AZ","en","United States","print_native","","","0.44","2017-11-13"
"357055","http://bensonnews-sun.com/","bensonnews-sun.com","USA","US-AZ","en","","print_native","","","0.02","2015-03-02"
"658975","http://caccactus.com/","Cactus","USA","US-AZ","en","","print_native","","","0.0","2017-10-30"
"89944","http://www.catholicsun.org/#spider","catholicsun.org","USA","US-AZ","en","United States","print_native","","","2.21","2017-12-04"
"658971","http://www.azcentral.com/local/chandler/","Chandler Republic","USA","US-AZ","en","United States","print_native","","","172.54","2017-12-04"
"658974","http://cvrnews.com/","Chino Valley Review","USA","US-AZ","en","United States","print_native","","","41.49","2019-12-02"
"659025","http://news.citysuntimes.com/","City Sun Times","USA","US-AZ","en","United States","print_native","","","0.67","2017-12-04"
"297593","http://copamonitor.com/","copamonitor.com","USA","US-AZ","en","","print_native","","","0.0","2014-03-24"
"658997","http://www.copperarea.com/pages/","Copper Area","USA","US-AZ","en","United States","digital_native","","","0.04","2017-11-27"
"658999","http://www.copperarea.com/pages/category/publications/copper-basin-news/","Copper Basin News, Kearny Arizona","USA","US-AZ","en","United States","print_native","","","0.0","2018-08-06"
"658992","http://www.coppercountrynews.com/","Copper Country News","USA","US-AZ","en","United States","print_native","","","0.0","2017-02-27"
"649411","http://www.eacourier.com/copper_era","Copper Era","USA","US-AZ","en","","print_native","","","2.1","2020-03-09"
