media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"108369","http://abc7chicago.com/","abc7chicago.com","USA","US-IL","en","United States","video_broadcast","","","64.46","2017-12-04"
"660136","http://www.mysuburbanlife.com/addison/","Addison Press","USA","US-IL","en","United States","print_native","","","8.3","2017-12-04"
"511932","http://advantagenews.com/","advantagenews.com","USA","US-IL","en","United States","print_native","","","15.71","2017-12-04"
"91106","http://www.agrinews-pubs.com/#spider","agrinews-pubs.com","USA","US-IL","en","","print_native","","","0.04","2013-10-07"
"268942","http://aledotimesrecord.com/","aledotimesrecord.com","USA","US-IL","en","United States","print_native","","","26.42","2017-12-04"
"248423","http://alestlelive.com/","alestlelive.com","USA","US-IL","en","","print_native","","","0.0","2012-02-06"
"660137","http://www.algonquin-countryside.com/","Algonquin Countryside","USA","US-IL","en","United States","print_native","","","135.59","2019-09-02"
"660139","http://www.arlingtonheights-post.com/","Arlington Heights Post","USA","US-IL","en","United States","print_native","","","127.41","2019-08-26"
"660142","https://www.arthurgraphic.com/arthur-graphic-clarion-homepage/","Arthur Graphic Clarion","USA","US-IL","en","United States","print_native","","","1.34","2018-08-13"
"660143","http://www.ashtongazette.com/v2_main_page.php","Ashton Gazette","USA","US-IL","en","United States","print_native","","","0.0","2017-02-27"
"212212","http://austinweeklynews.com/","austinweeklynews.com","USA","US-IL","en","United States","print_native","","","1.01","2017-12-04"
"660150","http://www.mysuburbanlife.com/bartlett/","Bartlett Press","USA","US-IL","en","United States","print_native","","","8.27","2017-12-04"
"660151","http://www.mysuburbanlife.com/batavia/","Batavia Republican","USA","US-IL","en","United States","print_native","","","8.27","2017-12-04"
"649935","http://www.bbherald.com/","BB Herald Home","USA","US-IL","en","","print_native","","","0.0","2017-12-04"
"660149","http://www.beaconnewsonline.com/","Beacon News","USA","US-IL","en","United States","print_native","","","127.11","2019-08-26"
"660153","http://www.russell-publications.com/beecher","Beecher Herald","USA","US-IL","en","United States","print_native","","","10.44","2017-12-04"
"660154","http://www.belvideredailyrepublican.net/","Belvidere Daily Republican","USA","US-IL","en","United States","print_native","","","1.49","2018-08-20"
"660158","http://www.mysuburbanlife.com/bensenville/","Bensenville Press","USA","US-IL","en","United States","print_native","","","8.27","2017-12-04"
"660159","http://www.bentoneveningnews.com/","Benton Evening News","USA","US-IL","en","","print_native","","","0.0","2011-08-15"
"660160","http://www.mysuburbanlife.com/berkeley/","Berkeley Suburban Life","USA","US-IL","en","United States","print_native","","","8.29","2017-12-04"
"660161","http://www.mysuburbanlife.com/berwyn/","Berwyn Life","USA","US-IL","en","United States","print_native","","","8.09","2017-12-04"
"660194","http://www.beverlyreview.net/","Beverly Review","USA","US-IL","en","","print_native","","","0.0","2018-09-17"
"660162","http://www.mysuburbanlife.com/bloomingdale/","Bloomingdale Press","USA","US-IL","en","United States","print_native","","","8.24","2017-12-04"
"26899","http://www.bnd.com","bnd.com","USA","US-IL","en","United States","print_native","","","109.1","2017-12-04"
"660164","http://www.mysuburbanlife.com/bolingbrook/","Bolingbrook Reporter","USA","US-IL","en","United States","print_native","","","8.26","2017-12-04"
"660155","http://www.boonecountyjournal.com/","Boone County Journal - United States - Illinois","USA","US-IL","en","","print_native","","","0.0","2017-12-04"
"562974","http://bradleyscout.com/","bradleyscout.com","USA","US-IL","en","United States","print_native","","","2.8","2017-11-27"
"660165","http://freepressnewspapers.com/main.asp?SectionID=13","Braidwood Journal","USA","US-IL","en","United States","print_native","","","0.66","2017-12-04"
"660362","http://breezecourier.com/index.asp","Breeze Courier","USA","US-IL","en","United States","print_native","","","0.0","2018-01-15"
"659708","http://www.bridgeportnews.net/","Bridgeport News - United States - Illinois","USA","US-IL","en","","print_native","","","0.0","2018-01-15"
"660166","http://www.mysuburbanlife.com/broadview/","Broadview Suburban Life","USA","US-IL","en","United States","print_native","","","8.26","2017-12-04"
"660167","http://www.mysuburbanlife.com/brookfield/","Brookfield Suburban Life","USA","US-IL","en","United States","print_native","","","8.24","2017-12-04"
"649939","http://www.buglenewspapers.com/","Bugle Newspapers – Hyperlocal news, sports, pictures and more!","USA","US-IL","en","United States","print_native","","","0.0","2017-12-04"
"660326","http://www.bcrnews.com/","Bureau County Republican","USA","US-IL","en","United States","print_native","","","5.31","2017-11-27"
"660168","http://www.mysuburbanlife.com/burrridge/","Burr Ridge Suburban Life","USA","US-IL","en","United States","print_native","","","8.1","2017-12-04"
"67396","http://www.cambridgechron.com/#spider","cambridgechron.com","USA","US-IL","en","United States","print_native","","","27.39","2017-12-04"
"173073","http://cantondailyledger.com/","cantondailyledger.com","USA","US-IL","en","United States","print_native","","","36.12","2017-11-20"
"26755","http://capitolfax.com","capitolfax.com","USA","US-IL","en","United States","digital_native","","","9.16","2016-06-13"
"195221","http://carmitimes.com/","carmitimes.com","USA","US-IL","en","United States","print_native","","","29.8","2017-12-04"
"660172","http://www.mysuburbanlife.com/carolstream/","Carol Stream Press","USA","US-IL","en","United States","print_native","","","8.43","2017-12-04"
"660174","http://www.carygrove-countryside.com/","Cary Grove Countryside","USA","US-IL","en","United States","print_native","","","128.98","2019-08-26"
"660152","http://www.beardstownnewspapers.com/","Cass County Star Gazette","USA","US-IL","en","United States","print_native","","","2.39","2018-01-29"
"660311","http://www.thecatholicpost.com/post/","Catholic Post","USA","US-IL","en","United States","print_native","","","0.84","2017-11-27"
"87041","http://www.catholicnewworld.com/#spider","catholicnewworld.com","USA","US-IL","en","","print_native","","","0.0","2011-10-17"
"660186","http://www.catolicoperiodico.com/","Catolico","USA","US-IL","es","United States","print_native","","","0.01","2018-01-15"
"1513","http://centralillinoisproud.com/","central illinois proud","USA","US-IL","en","Minnesota","video_broadcast","","","19.76","2019-08-26"
"660188","http://www.chicagochinesenews.com/","Chicago Chinese News","USA","US-IL","none","Taipei","print_native","","","3.03","2017-11-27"
"1116","http://www.chicagomag.com/","Chicago Magazine","USA","US-IL","en","United States","print_native","","","3.06","2012-04-30"
"9","http://www.chicagotribune.com/","Chicago Tribune","USA","US-IL","en","United States","print_native","","","151.84","2011-01-03"
"33545","http://chicago.cbslocal.com#spider","chicago.cbslocal.com","USA","US-IL","en","United States","video_broadcast","","","32.92","2017-12-04"
"81417","http://chicago.indymedia.org/#spider","chicago.indymedia.org","USA","US-IL","en","United States","print_native","","","0.82","2017-04-10"
"26131","http://www.chicagobusiness.com","chicagobusiness.com","USA","US-IL","en","United States","print_native","","","4.39","2014-01-20"
"77210","http://www.chicagodefender.com/#spider","chicagodefender.com","USA","US-IL","en","United States","print_native","","","3.6","2016-05-23"
