media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"24822","http://www.11alive.com","11alive.com","USA","US-GA","en","United States","video_broadcast","","","6.28","2016-09-12"
"384952","http://11thhouronline.com/","11thhouronline.com","USA","US-GA","en","United States","print_native","","","0.0","2017-11-27"
"20834","http://www.13wmaz.com","13wmaz.com","USA","US-GA","en","United States","video_broadcast","","","42.43","2018-08-27"
"438456","http://26nbc.com/","26nbc.com","USA","US-GA","en","","video_broadcast","","","0.0","2017-04-10"
"146931","http://41nbc.com/","41nbc.com","USA","US-GA","en","United States","video_broadcast","","","17.86","2017-12-04"
"141488","http://accessatlanta.com/","accessatlanta.com","USA","US-GA","en","United States","digital_native","","","0.03","2011-03-28"
"76574","http://www.accessnorthga.com/#spider","accessnorthga.com","USA","US-GA","en","United States","digital_native","","","21.16","2018-08-13"
"659945","https://www.adelnewstribune.com/","Adel News Tribune","USA","US-GA","en","United States","print_native","","","0.54","2019-11-04"
"146484","http://albanyherald.com/","albanyherald.com","USA","US-GA","en","United States","print_native","","","0.27","2012-04-30"
"659947","http://www.neighbornewspapers.com/nni_al?neighbor=alpharetta","Alpharetta Neighbor","USA","US-GA","en","United States","print_native","","","12.5","2017-12-04"
"659948","http://www.americusumterobserver.com/","Americus Sumter Observer","USA","US-GA","en","United States","print_native","","","0.28","2017-09-18"
"659950","http://www.bizjournals.com/atlanta/","Atlanta Business Chronicle","USA","US-GA","en","United States","print_native","","","252.79","2017-12-04"
"659951","http://www.atlantachinesenews.com/","Atlanta Chinese News","USA","US-GA","zh","","print_native","","","0.0","2017-12-04"
"104293","http://www.atlantatribune.com","Atlanta Tribune: The Magazine | The Business Lifestyle","USA","US-GA","en","United States","print_native","","","1.11","2014-04-28"
"96352","http://www.atlantadailyworld.com/#spider","atlantadailyworld.com","USA","US-GA","en","United States","print_native","","","3.32","2016-05-23"
"130947","http://atlantaintownpaper.com/","atlantaintownpaper.com","USA","US-GA","en","United States","print_native","","","2.56","2017-12-04"
"143608","http://atlantamagazine.com/","atlantamagazine.com","USA","US-GA","en","United States","print_native","","","2.28","2014-09-15"
"659965","http://www.augustamagazine.com/","Augusta","USA","US-GA","en","United States","print_native","","","0.21","2017-10-30"
"660026","https://www.bbnews.today/","Baldwin Bulletin","USA","US-GA","en","United States","print_native","","","0.33","2018-04-02"
"288762","http://barnesville.com/","barnesville.com","USA","US-GA","en","United States","print_native","","","3.0","2017-11-20"
"660055","http://www.barrowcountynews.com/","Barrow County News","USA","US-GA","en","United States","print_native","","","0.0","2017-11-27"
"540373","http://barrowjournal.com/","barrowjournal.com","USA","US-GA","en","United States","digital_native","","","0.0","2017-11-27"
"659974","http://www.neighbornewspapers.com/nni_al?neighbor=bartow","Bartow Neighbor","USA","US-GA","en","United States","print_native","","","12.49","2017-12-04"
"538034","http://baxleynewsbanner.com/","baxleynewsbanner.com","USA","US-GA","en","United States","print_native","","","1.49","2017-11-27"
"373450","http://benningnews.org/","benningnews.org","USA","US-GA","en","United States","print_native","","","0.31","2017-11-27"
"80478","http://beta.effinghamherald.net/#spider","beta.effinghamherald.net","USA","US-GA","en","","print_native","","","0.0","2013-06-10"
"659966","http://www.theblacksheartimes.com/","Blackshear Times","USA","US-GA","en","","print_native","","","0.0","2017-06-12"
"659968","http://www.braseltonnews.com/","Braselton News","USA","US-GA","en","United States","print_native","","","0.0","2017-12-04"
"659970","http://www.neighbornewspapers.com/nni_al?neighbor=brookhaven","Brookhaven Neighbor","USA","US-GA","en","United States","print_native","","","12.46","2017-12-04"
"319012","http://bryancountynews.com/","bryancountynews.com","USA","US-GA","en","United States","print_native","","","3.1","2017-11-27"
"659961","http://www.reporternewspapers.net/category/buckhead/","Buckhead Reporter","USA","US-GA","en","United States","print_native","","","5.92","2017-12-11"
"659962","http://buckheadview.com/","Buckhead View","USA","US-GA","en","United States","digital_native","","","0.34","2017-08-07"
"648755","http://www.catoosanews.com","Catoosa Walker News","USA","US-GA","en","United States","print_native","","","3.59","2017-11-13"
"30391","http://www.cbsatlanta.com#spider","cbsatlanta.com","USA","US-GA","en","United States","video_broadcast","","","0.02","2018-07-23"
"658397","http://thechampionnewspaper.com/","Champion - United States","USA","US-GA","en","United States","print_native","","","2.89","2017-12-11"
"648758","http://www.chatsworthtimes.com/","Chatsworth Times","USA","US-GA","en","United States","print_native","","","1.68","2017-11-13"
"133665","http://cherokeetribune.com/","cherokeetribune.com","USA","US-GA","en","United States","print_native","","","0.18","2013-04-29"
"30013","http://clatl.com#spider","clatl.com","USA","US-GA","en","United States","print_native","","","0.0","2017-12-04"
"660008","http://www.neighbornewspapers.com/nni_al?neighbor=clayton","Clayton Neighbor","USA","US-GA","en","United States","print_native","","","12.74","2017-12-04"
"1248","http://www.news-daily.com","clayton news daily","USA","US-GA","en","United States","print_native","","","0.11","2015-09-07"
"537371","http://coastalcourier.com/","coastalcourier.com","USA","US-GA","en","United States","print_native","","","5.57","2017-11-20"
"660027","https://www.gcsucolonnade.com/","Colonnade","USA","US-GA","en","United States","print_native","","","0.17","2018-04-09"
"104374","http://www.columbustimes.com","Columbus Times News","USA","US-GA","en","United States","print_native","","","0.0","2012-07-02"
"660044","http://www.connectstatesboro.com/","Connect Statesboro","USA","US-GA","en","United States","print_native","","","0.26","2018-07-30"
"173020","http://connectsavannah.com/","connectsavannah.com","USA","US-GA","en","United States","print_native","","","3.13","2017-12-04"
"155884","http://coosavalleynews.com/","coosavalleynews.com","USA","US-GA","en","none","digital_native","","","223.81","2013-08-05"
"659984","http://www.courier-herald.com/","Courier Herald - United States - Georgia","USA","US-GA","en","","print_native","","","0.0","2017-12-25"
"180356","http://covnews.com/","covnews.com","USA","US-GA","en","United States","print_native","","","3.18","2017-11-27"
"659979","http://www.thedahloneganugget.com/","Dahlonega Nugget","USA","US-GA","en","United States","print_native","","","1.49","2019-06-24"
"657250","http://www.daily-tribune.com/","Daily Tribune - United States - Georgia","USA","US-GA","en","United States","print_native","","","0.06","2017-11-20"
"115212","http://dailyreportonline.com/","dailyreportonline.com","USA","US-GA","en","United States","print_native","","","14.4","2017-01-30"
"147031","http://daltondailycitizen.com/","daltondailycitizen.com","USA","US-GA","en","","print_native","","","0.0","2014-08-25"
"659956","http://davidatlanta.com/","David Atlanta","USA","US-GA","en","United States","print_native","","","0.74","2017-11-27"
