media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"304556","http://abcfoxmontana.com/","abcfoxmontana.com","USA","US-MT","en","United States","video_broadcast","","","0.01","2016-01-25"
"147383","http://belgrade-news.com/","belgrade-news.com","USA","US-MT","en","","print_native","","","0.0","2012-10-08"
"661813","https://www.bigsandymountaineer.com/","Big 
Sandy Mountaineer","USA","US-MT","en","United States","print_native","","","1.86","2018-09-03"
"661843","http://www.bighorncountynews.com/","Big Horn County News","USA","US-MT","en","United States","print_native","","","0.88","2017-11-20"
"661812","http://www.bigsandymountaineer.com/","Big Sandy Mountaineer","USA","US-MT","en","United States","print_native","","","1.86","2017-12-04"
"661816","http://www.bigskybusiness.com/","Big Sky Business Journal","USA","US-MT","en","","print_native","","","0.0","2017-12-04"
"661815","http://www.bigtimberpioneer.net/","Big Timber Pioneer","USA","US-MT","en","United States","print_native","","","0.06","2017-11-20"
"29602","http://billingsgazette.com#spider","billingsgazette.com","USA","US-MT","en","United States","print_native","","","0.53","2012-12-10"
"141413","http://billingsnews.com/","billingsnews.com","USA","US-MT","en","United States","print_native","","","0.76","2017-08-28"
"438318","http://bitterrootstar.com/","bitterrootstar.com","USA","US-MT","en","United States","print_native","","","2.74","2017-12-04"
"661854","http://www.blackfootvalleydispatch.com/","Blackfoot Valley Dispatch","USA","US-MT","en","United States","print_native","","","3.0","2018-08-27"
"661820","http://www.bozone.com/","Bo Zone","USA","US-MT","en","United States","print_native","","","2.32","2017-12-04"
"661819","http://www.jeffersoncountycourier.com/Home.html","Boulder Monitor","USA","US-MT","en","","print_native","","","0.0","2017-12-04"
"84777","http://www.bozemandailychronicle.com/#spider","bozemandailychronicle.com","USA","US-MT","en","United States","print_native","","","0.19","2012-04-02"
"661823","http://butteweekly.com/","Butte Weekly","USA","US-MT","en","","print_native","","","0.0","2017-11-20"
"584672","http://buttenews.net/","buttenews.net","USA","US-MT","en","United States","digital_native","","","2.22","2017-12-04"
"661865","http://www.carboncountynews.com/","Carbon County News","USA","US-MT","en","United States","print_native","","","0.26","2017-10-09"
"285953","http://www.charkoosta.com/","Char-Koosta News - Official Newspaper of the Salish and Kootenai Tribes","USA","US-MT","en","United States","print_native","","","0.01","2016-10-10"
"661826","http://www.choteauacantha.com/","Choteau Acantha","USA","US-MT","en","","print_native","","","0.0","2018-11-19"
"661829","http://cutbankpioneerpress.com/cut_bank_pioneer_press/?cal=pioneerpress","Cut Bank Pioneer Press","USA","US-MT","en","","print_native","","","0.06","2015-11-30"
"98615","http://www.dailyinterlake.com/#spider","dailyinterlake.com","USA","US-MT","en","United States","print_native","","","0.11","2012-04-30"
"661867","http://northeastmontananews.com/dcl/index.php?option=com_content&view=featured&Itemid=101","Daniels County Leader","USA","US-MT","en","","print_native","","","0.0","2020-04-29"
"661832","http://www.dillontribune.com/","Dillon Tribune","USA","US-MT","en","United States","print_native","","","0.74","2018-03-12"
"565495","http://explorebigsky.com/","explorebigsky.com","USA","US-MT","en","United States","print_native","","","5.52","2017-12-04"
