media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"661995","http://www.amherstcitizen.com/","Amherst Citizen","USA","US-NH","en","","print_native","","","0.0","2017-12-04"
"661996","http://www.andoverbeacon.com/","Andover Beacon","USA","US-NH","en","United States","print_native","","","1.36","2017-12-04"
"649996","http://www.areanewsgroup.com/","Area News Group | Publisher of three independent weekly publications serving the five fastest growing towns in southern New Hamp","USA","US-NH","en","","print_native","","","0.01","2020-04-13"
"661997","http://www.newhampshire.com/section/newhampshire1408","Bedford Bulletin - unionleader.com - Manchester, NH","USA","US-NH","en","United States","print_native","","","0.0","2020-04-29"
"130052","http://berlindailysun.com/","berlindailysun.com","USA","US-NH","en","","print_native","","","0.0","2014-07-21"
"662013","http://www.thebridgeweekly.com/","Bridge Weekly Sho Case","USA","US-NH","en","","print_native","","","0.0","2017-12-04"
"167887","http://cabinet.com/","cabinet.com","USA","US-NH","en","","digital_native","","","0.0","2011-12-19"
"662017","http://www.carriagetownenews.com/","Carriage Towne News","USA","US-NH","en","","print_native","","","0.0","2018-11-19"
"662002","http://www.colebrookchronicle.com/","Colebrook Chronicle","USA","US-NH","en","","print_native","","","0.0","2017-12-25"
"662004","http://www.theconcordinsider.com/","Concord Insider","USA","US-NH","en","United States","print_native","","","1.17","2017-12-04"
"29410","http://www.concordmonitor.com#spider","concordmonitor.com","USA","US-NH","en","United States","print_native","","","35.06","2017-12-04"
"113600","http://concordnewsradio.com/","concordnewsradio.com","USA","US-NH","en","United States","video_broadcast","","","1.48","2017-12-11"
"116527","http://conwaydailysun.com/","conwaydailysun.com","USA","US-NH","en","","print_native","","","0.06","2013-12-02"
"128703","http://dartreview.com/","dartreview.com","USA","US-NH","en","United States","print_native","","","0.24","2017-11-13"
"662005","http://www.derrynews.com/","Derry News","USA","US-NH","en","United States","print_native","","","5.64","2018-09-10"
"369054","http://eagletimes.com/","eagletimes.com","USA","US-NH","en","","print_native","","","0.09","2016-08-15"
"662008","http://www.seacoastonline.com/apps/pbcs.dll/section?Category=NEWS11","Exeter News Letter","USA","US-NH","en","United States","print_native","","","62.68","2017-12-04"
"651211","http://forumhome.org/index1.htm","Forum - United States - New Hampshire","USA","US-NH","en","","print_native","","","0.0","2018-01-29"
"82445","http://www.fosters.com/#spider","fosters.com","USA","US-NH","en","United States","print_native","","","59.44","2017-12-04"
"662009","http://www.newhampshire.com/section/newhampshire1409","Goffstown News - unionleader.com - Manchester, NH","USA","US-NH","en","United States","print_native","","","51.48","2019-08-26"
"662011","http://www.seacoastonline.com/apps/pbcs.dll/section?Category=NEWS10","Hampton Union","USA","US-NH","en","United States","print_native","","","63.19","2017-12-04"
"496552","http://hippopress.com/","hippopress.com","USA","US-NH","en","","print_native","","","0.0","2016-01-11"
"662014","http://www.newhampshire.com/section/newhampshire1410","Hooksett Banner - unionleader.com - Manchester, NH","USA","US-NH","en","United States","print_native","","","45.56","2019-09-02"
"662023","http://www.intertownrecord.com/","Intertown Record","USA","US-NH","en","none","print_native","","","0.13","2017-10-02"
"131890","http://laconiadailysun.com/","laconiadailysun.com","USA","US-NH","en","","print_native","","","0.03","2011-10-24"
"655077","http://thelaker.com/","Laker - United States","USA","US-NH","en","","print_native","","","0.0","2017-10-09"
"278898","http://ledgertranscript.com/","ledgertranscript.com","USA","US-NH","en","United States","print_native","","","8.96","2017-09-04"
"662018","http://londonderrytimes.net/","Londonderry Times","USA","US-NH","","","print_native","","","0.0","2014-05-26"
"662024","http://www.merrimackvalleyvoice.com/","Merrimack Valley Voice","USA","US-NH","en","","print_native","","","0.0","2017-12-04"
"662016","http://www.shoppernews.com/","Monadnock Shopper News","USA","US-NH","en","","print_native","","","0.0","2017-12-04"
"33640","http://www.nashuatelegraph.com#spider","nashuatelegraph.com","USA","US-NH","en","United States","print_native","","","0.21","2011-06-27"
"662019","https://jewishnh.org/news/reporter","New Hampshire Jewish Reporter","USA","US-NH","","","print_native","","","0.0","2017-12-04"
"94709","http://www.newhampshire.com/#spider","newhampshire.com","USA","US-NH","en","United States","digital_native","","","0.01","2017-12-04"
"317481","http://newhampshire.statenews.net/","newhampshire.statenews.net","USA","US-NH","en","United States","digital_native","","","48.37","2018-05-07"
"662003","http://www.colbsent.com/","News and Sentinel","USA","US-NH","en","","print_native","","","0.0","2017-12-04"
"179583","http://nh1.com/","nh1.com","USA","US-NH","en","United States","video_broadcast","","","0.16","2016-07-11"
"194673","http://nhbr.com/","nhbr.com","USA","US-NH","en","United States","print_native","","","3.02","2017-12-04"
"77578","http://www.nhgazette.com/#spider","nhgazette.com","USA","US-NH","en","","print_native","","","0.07","2013-05-20"
"301167","http://nhmagazine.com/","nhmagazine.com","USA","US-NH","en","United States","print_native","","","1.0","2018-11-26"
"22716","http://www.nhpr.org","nhpr.org","USA","US-NH","en","United States","video_broadcast","","","44.27","2017-12-04"
"662031","http://www.northcountrynewsnh.com/","Northcountry News","USA","US-NH","en","","print_native","","","0.0","2017-12-04"
"662028","http://www.seacoastonline.com/apps/pbcs.dll/section?Category=NEWS09","Portsmouth Herald","USA","US-NH","en","United States","print_native","","","62.9","2014-09-15"
"662020","http://criernewsroom.com/","Saint Anselm Crier","USA","US-NH","en","United States","print_native","","","0.11","2017-09-25"
"662029","http://www.newhampshire.com/section/newhampshire1411","Salem Observer - unionleader.com - Manchester, NH","USA","US-NH","en","United States","print_native","","","46.01","2019-09-02"
