media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"69618","http://www.10tv.com/#spider","10tv.com","USA","US-OH","en","United States","video_broadcast","","","19.52","2018-05-28"
"336231","http://1150wima.iheart.com/","1150wima.iheart.com","USA","US-OH","en","Republic of Peru","video_broadcast","","","0.59","2018-04-09"
"30454","http://www.13abc.com#spider","13abc.com","USA","US-OH","en","United States","video_broadcast","","","2.56","2018-07-30"
"325646","http://570wkbn.iheart.com/","570wkbn.iheart.com","USA","US-OH","en","United States","video_broadcast","","","0.6","2018-06-25"
"296611","http://610wtvn.iheart.com/","610wtvn.iheart.com","USA","US-OH","en","United States","video_broadcast","","","0.37","2014-04-21"
"313808","http://640whlo.iheart.com/","640whlo.iheart.com","USA","US-OH","en","United States","video_broadcast","","","0.72","2018-06-25"
"294472","http://700wlw.iheart.com/","700wlw.iheart.com","USA","US-OH","en","United States","video_broadcast","","","0.51","2014-07-21"
"75122","http://www.abc22now.com/#spider","abc22now.com","USA","US-OH","en","United States","video_broadcast","","","0.0","2017-12-11"
"112191","http://abc6onyourside.com/","abc6onyourside.com","USA","US-OH","en","United States","video_broadcast","","","3.79","2016-01-18"
"662527","http://www.aboutstark.com/","About Magazine","USA","US-OH","en","United States","print_native","","","0.79","2017-11-27"
"160856","http://adaherald.com/","adaherald.com","USA","US-OH","en","United States","print_native","","","0.26","2018-02-12"
"278756","http://advertiser-tribune.com/","advertiser-tribune.com","USA","US-OH","en","United States","print_native","","","0.02","2011-01-03"
"278733","http://akron.com/","akron.com","USA","US-OH","en","","print_native","","","0.01","2015-11-16"
"347726","http://akronlegalnews.com/","akronlegalnews.com","USA","US-OH","en","","print_native","","","0.0","2013-05-13"
"307841","http://akronlife.com/","akronlife.com","USA","US-OH","en","United States","print_native","","","0.33","2017-09-18"
"88507","http://www.akronnewsnow.com/#spider","akronnewsnow.com","USA","US-OH","en","","video_broadcast","","","0.0","2014-10-20"
