media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"542634","http://1600kush.com/","1600kush.com","USA","US-OK","en","United States","video_broadcast","","","1.92","2017-12-04"
"662631","http://allennewspaper.com/","Allen Advocate","USA","US-OK","en","United States","print_native","","","0.3","2018-07-30"
"114951","http://altustimes.com/","altustimes.com","USA","US-OK","en","United States","print_native","","","0.01","2017-12-04"
"662632","http://www.alvareviewcourier.com/","Alva Review Courier","USA","US-OK","en","United States","print_native","","","27.94","2017-12-04"
"662633","http://www.theantlersamerican.com/","Antlers American","USA","US-OK","en","","print_native","","","0.07","2017-06-26"
"175552","http://ardmoreite.com/","ardmoreite.com","USA","US-OK","en","United States","print_native","","","30.13","2017-12-04"
"662634","http://www.atokacountytimes.com/v2/content.aspx?IsHome=1&MemberID=1672&ID=8674","Atoka County Times","USA","US-OK","en","","print_native","","","0.0","2017-12-04"
"1439","http://examiner-enterprise.com/","bartlesville examiner-enterprise","USA","US-OK","en","United States","print_native","","","44.46","2014-08-04"
"540869","http://bartlesvilleradio.com/","bartlesvilleradio.com","USA","US-OK","en","United States","video_broadcast","","","10.07","2017-12-11"
"104315","http://www.blackchronicle.com","Black Chronicle ""The Paper That Tells The Truth""","USA","US-OK","en","Illinois","print_native","","","0.0","2016-10-10"
"662639","http://www.blackwelljournaltribune.net/","Blackwell Journal Tribune","USA","US-OK","en","","print_native","","","0.0","2019-09-16"
"662641","http://www.bristownews.com/","Bristow News Record","USA","US-OK","en","","print_native","","","0.0","2017-11-20"
"662643","http://baledger.com/","Broken Arrow Ledger","USA","US-OK","en","United States","print_native","","","0.27","2017-10-30"
"662644","http://www.buffaloweeklynews.com/","Buffalo Weekly News","USA","US-OK","en","","print_native","","","0.0","2018-03-26"
"662645","http://canton-times.com/","Canton Times","USA","US-OK","en","United States","print_native","","","0.07","2017-12-04"
"662646","http://www.carnegieherald.com/","Carnegie Herald","USA","US-OK","en","","print_native","","","0.0","2018-11-19"
"662640","http://www.cherokeeobserver.org/","Cherokee Observer","USA","US-OK","en","","digital_native","","","0.0","2017-12-04"
"285954","http://www.chickasawtimes.net/","Chickasaw Times - the Chickasaw Nation newspaper - Home","USA","US-OK","en","Alabama","print_native","","","0.0","2017-04-10"
"367135","http://chickashanews.com/","chickashanews.com","USA","US-OK","en","","print_native","","","0.0","2013-01-07"
"662648","http://www.mustangpaper.com/15059/1586/choctaw-times","Choctaw Times","USA","US-OK","en","United States","print_native","","","0.0","2017-11-27"
"93920","http://city-sentinel.com/#spider","city-sentinel.com","USA","US-OK","en","United States","print_native","","","1.51","2017-11-27"
"1442","http://claremoreprogress.com/","claremore daily progress","USA","US-OK","en","","print_native","","","0.04","2014-04-21"
"662649","http://www.theclevelandamerican.com/","Cleveland American","USA","US-OK","en","","print_native","","","0.0","2015-03-02"
"662650","http://www.clintondailynews.com/","Clinton Daily News","USA","US-OK","en","United States","print_native","","","0.62","2017-12-04"
"662651","http://coalgaterecordregister.com/","Coalgate Record Register","USA","US-OK","en","United States","print_native","","","0.28","2018-07-30"
"662653","http://www.cordellbeacon.com/","Cordell Beacon","USA","US-OK","en","United States","print_native","","","0.28","2017-10-02"
"662716","http://countywidenews.com/index100.htm","Countywide and Sun","USA","US-OK","en","","print_native","","","0.0","2017-12-04"
"214467","http://cowetaamerican.com/","cowetaamerican.com","USA","US-OK","en","United States","print_native","","","2.27","2017-11-20"
"662654","http://www.cushingcitizen.com/","Cushing Citizen","USA","US-OK","en","","print_native","","","0.0","2018-03-05"
"662655","https://www.davisnewspaper.net/","Davis News","USA","US-OK","","","print_native","","","0.0","2017-12-04"
"662636","http://delawaretribe.org/tribalsite/delaware-indian-news/","Delaware 
Indian News","USA","US-OK","en","United States","print_native","","","0.21","2017-09-25"
"662710","http://deweycountyrecord.com/","Dewey County Record","USA","US-OK","en","United States","print_native","","","0.23","2017-11-20"
"162547","http://duncanbanner.com/","duncanbanner.com","USA","US-OK","en","","print_native","","","0.04","2016-06-13"
"194000","http://durantdemocrat.com/","durantdemocrat.com","USA","US-OK","en","United States","print_native","","","0.0","2017-12-04"
"662657","http://edmondlifeandleisure.com/index1.htm","Edmond Life and Leisure","USA","US-OK","en","","print_native","","","0.0","2017-12-04"
"112227","http://edmondsun.com/","edmondsun.com","USA","US-OK","en","","print_native","","","0.07","2011-03-14"
"662695","http://www.ellatinoamerican.com/","El Latino American","USA","US-OK","es","","print_native","","","0.0","2018-03-19"
"662659","http://www.elrenotribune.com/","El Reno Tribune","USA","US-OK","","","print_native","","","0.0","2016-08-01"
"96461","http://enidnews.com/#spider","enidnews.com","USA","US-OK","en","","print_native","","","0.1","2011-06-13"
"662664","http://www.eufaulaindianjournal.com/","Eufaula Indian Journal","USA","US-OK","en","","print_native","","","0.0","2014-09-15"
"653265","http://examinernewspaper.net/","Examiner - United States - Oklahoma","USA","US-OK","en","United States","print_native","","","0.0","2017-12-04"
"662665","http://www.fairviewrepublican.com/","Fairview Republican","USA","US-OK","","","print_native","","","0.0","2017-09-25"
"1549","http://www.fox23.com","Fox 23","USA","US-OK","en","United States","video_broadcast","","","0.86","2011-01-03"
"662668","http://www.press-leader.com/","Frederick Press Leader","USA","US-OK","en","United States","print_native","","","0.0","2017-12-04"
"662701","http://okcfriday.com/index92.htm","Friday","USA","US-OK","en","","print_native","","","0.0","2018-01-01"
"662683","http://www.gcnews-star.com/","Garvin County News Star","USA","US-OK","en","United States","print_native","","","0.44","2017-10-30"
"662669","http://www.thegearystar.com/","Geary Star","USA","US-OK","en","","print_native","","","0.0","2018-06-18"
"322484","http://grandlakenews.com/","grandlakenews.com","USA","US-OK","en","United States","print_native","","","32.77","2017-11-27"
"662638","http://www.gtrnews.com/bixby-breeze/","GTR Newspapers | Find Local Tulsa, Bixby, Broken Arrow, Jenks, Union, and Owasso News, Sports, and Entertainment:bixby-breeze","USA","US-OK","en","United States","print_native","","","0.54","2017-11-06"
"662642","http://www.gtrnews.com/broken-arrow-express/","GTR Newspapers | Find Local Tulsa, Bixby, Broken Arrow, Jenks, Union, and Owasso News, Sports, and Entertainment:broken-arrow-ex","USA","US-OK","en","United States","print_native","","","0.54","2017-11-06"
"662702","http://www.gtrnews.com/owasso-rambler/","GTR Newspapers | Find Local Tulsa, Bixby, Broken Arrow, Jenks, Union, and Owasso News, Sports, and Entertainment:owasso-rambler","USA","US-OK","en","United States","print_native","","","0.56","2017-11-06"
"662722","http://www.gtrnews.com/tulsa-free-press/","GTR Newspapers | Find Local Tulsa, Bixby, Broken Arrow, Jenks, Union, and Owasso News, Sports, and Entertainment:tulsa-free-pres","USA","US-OK","en","United States","print_native","","","0.68","2017-11-06"
"662723","http://www.gtrnews.com/union-boundary/","GTR Newspapers | Find Local Tulsa, Bixby, Broken Arrow, Jenks, Union, and Owasso News, Sports, and Entertainment:union-boundary","USA","US-OK","en","United States","print_native","","","0.78","2017-11-06"
"466704","http://gtrnews.com/","gtrnews.com","USA","US-OK","en","United States","digital_native","","","0.68","2017-11-06"
