media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"22123","http://www.630wpro.com","630wpro.com","USA","US-RI","en","United States","video_broadcast","","","0.0","2017-12-04"
"295461","http://920whjj.iheart.com/","920whjj.iheart.com","USA","US-RI","en","United States","video_broadcast","","","0.21","2018-10-29"
"112900","http://abc6.com/","abc6.com","USA","US-RI","en","United States","video_broadcast","","","0.81","2019-06-17"
"662946","http://block-island.villagesoup.com/","Block Island Times","USA","US-RI","en","United States","print_native","","","1.79","2017-12-11"
"75634","http://www.browndailyherald.com/#spider","browndailyherald.com","USA","US-RI","en","United States","print_native","","","4.62","2018-09-24"
"345661","http://bryantarchway.com/","bryantarchway.com","USA","US-RI","en","United States","print_native","","","0.13","2017-12-04"
"662954"," https://www.theindy.org/","College Hill Independent","USA","US-RI","","","print_native","","","0.0","2013-04-22"
"588058","http://cranstononline.com/","cranstononline.com","USA","US-RI","en","","print_native","","","0.01","2013-04-29"
"662948","http://www.eastsidemonthly.com/","East Side Monthly","USA","US-RI","en","","print_native","","","0.0","2017-12-04"
"243288","http://eastbayri.com/","eastbayri.com","USA","US-RI","en","","digital_native","","","0.16","2018-06-25"
"296268","http://foxprovidence.com/","foxprovidence.com","USA","US-RI","en","United States","video_broadcast","","","25.98","2018-08-27"
"151767","http://golocalprov.com/","golocalprov.com","USA","US-RI","en","United States","digital_native","","","2.48","2017-12-04"
"539361","http://independentri.com/","independentri.com","USA","US-RI","en","","print_native","","","0.01","2016-07-11"
"571620","http://jamestownpress.com/","jamestownpress.com","USA","US-RI","en","United States","print_native","","","1.34","2017-12-04"
"662955","http://www.jvhri.org/","Jewish Voice and Herald","USA","US-RI","en","","print_native","","","0.0","2018-06-25"
"662949","http://www.johnstonsunrise.net/","Johnston Sun Rise","USA","US-RI","en","","print_native","","","0.0","2018-02-19"
"653261","http://www.newportmercury.com/","Mercury - United States - Rhode Island","USA","US-RI","en","United States","print_native","","","87.41","2018-08-27"
"662950","http://www.newportdailynews.com/ee/newportdailynews/index.php","Newport Daily News","USA","US-RI","en","United States","print_native","","","85.72","2018-08-27"
"662951","http://www.newportlifemagazine.com/","Newport Life","USA","US-RI","en","United States","print_native","","","86.21","2018-08-27"
"662952","http://www.valleybreeze.com/northprovidence","North Providence Breeze","USA","US-RI","en","","print_native","","","0.0","2020-04-29"
"142370","http://pawtuckettimes.com/","pawtuckettimes.com","USA","US-RI","en","","print_native","","","0.0","2016-04-11"
"23387","http://www.pbn.com","pbn.com","USA","US-RI","en","United States","print_native","","","13.14","2017-12-11"
"662956","http://www.providenceonline.com/","Providence Monthly","USA","US-RI","en","","print_native","","","0.06","2018-06-25"
"332379","http://providenceenespanol.com/","providenceenespanol.com","USA","US-RI","es","United States","print_native","","","7.33","2015-06-01"
"68874","http://www.providencejournal.com/#spider","providencejournal.com","USA","US-RI","en","United States","print_native","","","103.37","2017-12-04"
"283840","http://rimonthly.com/","rimonthly.com","USA","US-RI","en","United States","print_native","","","1.56","2017-12-04"
"93468","http://www.ripr.org/#spider","ripr.org","USA","US-RI","en","United States","video_broadcast","","","0.0","2017-12-04"
"658834","http://www.rhodeisland.statenews.net/","State News - United States - Rhode Island","USA","US-RI","en","United States","digital_native","","","34.03","2017-12-11"
"104790","http://www.theprovidenceamerican.com","The Providence American - Your Source for YOUR NEWS","USA","US-RI","en","none","print_native","","","0.0","2014-05-26"
"537960","http://thecowl.com/","thecowl.com","USA","US-RI","en","United States","print_native","","","0.56","2017-12-04"
"195490","http://thericatholic.com/","thericatholic.com","USA","US-RI","en","","print_native","","","0.01","2012-06-04"
"434122","http://thewesterlysun.com/","thewesterlysun.com","USA","US-RI","en","","print_native","","","0.02","2016-12-05"
"87977","http://www.turnto10.com/#spider","turnto10.com","USA","US-RI","en","United States","video_broadcast","","","1.62","2016-11-28"
"662947","http://www.valleybreeze.com/pawtucket","Valley Breeze - United States (Pawtucket)","USA","US-RI","en","","print_native","","","0.0","2020-04-29"
"214598","http://valleybreeze.com/","valleybreeze.com","USA","US-RI","en","United States","digital_native","","","4.31","2015-09-14"
"192610","http://warwickonline.com/","warwickonline.com","USA","US-RI","en","","print_native","","","0.07","2016-01-04"
"302996","http://woonsocketcall.com/","woonsocketcall.com","USA","US-RI","en","","print_native","","","0.0","2016-02-15"
"23384","http://www.wpri.com","wpri.com","USA","US-RI","en","United States","video_broadcast","","","26.59","2017-12-04"
"142366","http://www.ramcigar.com/","www.ramcigar.com","USA","US-RI","en","","print_native","","","0.0","2016-04-18"
