media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"33680","http://www.aberdeennews.com#spider","aberdeennews.com","USA","US-SD","en","United States","print_native","","","0.03","2011-03-14"
"663011","http://www.ahenews.com/","Alcester Union and Hudsonite","USA","US-SD","en","none","print_native","","","0.0","2018-01-15"
"29444","http://www.argusleader.com#spider","argusleader.com","USA","US-SD","en","United States","print_native","","","22.26","2017-12-04"
"663042","http://www.bennettcountyboostersd.com/","Bennett County Booster","USA","US-SD","en","United States","print_native","","","0.32","2017-10-23"
"285379","http://bhpioneer.com/","bhpioneer.com","USA","US-SD","en","","print_native","","","0.04","2013-11-18"
"663055","http://www.blackhillsquikquarter.com/","Black Hills Quik Quarter","USA","US-SD","none","none","print_native","","","0.0","2017-12-04"
"265951","http://blackhillsfox.com/","blackhillsfox.com","USA","US-SD","en","United States","video_broadcast","","","0.61","2017-03-06"
"434923","http://blackhillsknowledgenetwork.org/","blackhillsknowledgenetwork.org","USA","US-SD","en","","digital_native","","","0.0","2011-02-07"
"356906","http://blackhillsportal.com/","blackhillsportal.com","USA","US-SD","en","","digital_native","","","0.0","2015-06-22"
"663014","http://www.brandoninfo.com/","Brandon Valley Challenger","USA","US-SD","en","United States","print_native","","","22.07","2014-03-24"
"663064","http://www.broadcasteronline.com/","Broadcaster Press","USA","US-SD","en","","print_native","","","0.0","2017-12-04"
"307334","http://brookingsregister.com/","brookingsregister.com","USA","US-SD","en","United States","print_native","","","0.04","2017-02-27"
"663017","http://www.smalltownpapers.com/newspapers/newspaper.php?id=50","Burke Gazette","USA","US-SD","en","","print_native","","","0.0","2017-12-04"
"663013","http://rapidcityjournal.com/news/local/communities/belle_fourche/","Butte County Post","USA","US-SD","en","United States","print_native","","","2.98","2017-10-30"
"663018","http://andersonpublications.com/newspapers/canistota-clipper/","Canistota Clipper","USA","US-SD","","","print_native","","","0.0","2015-05-18"
"94814","http://www.capjournal.com/#spider","capjournal.com","USA","US-SD","en","United States","print_native","","","0.07","2014-01-27"
"650015","http://www.centraldakotanews.com/?id=1081","Central Dakota News - Login","USA","US-ND","en","","print_native","","","0.0","2017-12-04"
"663020","http://www.centraldakotatimes.org/","Central Dakota Times","USA","US-SD","en","","print_native","","","0.0","2018-03-05"
"663021","http://chamberlainsun.com/","Chamberlain Oacoma Sun","USA","US-SD","en","United States","print_native","","","0.56","2017-11-27"
"663022","http://www.clarkcountypublishing.com/","Clark County Courier","USA","US-SD","en","United States","print_native","","","0.29","2018-03-05"
"663066","http://www.coteaushopper.com/","Coteau Shopper","USA","US-SD","en","","print_native","","","0.0","2017-12-04"
"663023","http://www.custercountynews.com/","Custer County Chronicle","USA","US-SD","en","","print_native","","","0.0","2017-12-04"
"663012","http://www.thedakotaactionrocket.com/","Dakota Action Rocket","USA","US-SD","en","Corsica","print_native","","","0.0","2017-12-04"
"663038","http://www.dakotaherald.net/","Dakota Herald","USA","US-SD","en","","print_native","","","0.0","2017-12-04"
"663024","http://www.desmetnews.com/","De Smet News","USA","US-SD","en","","print_native","","","0.0","2018-03-26"
"663025","http://www.dellrapidsinfo.com/","Dell Rapids Tribune","USA","US-SD","en","United States","print_native","","","21.93","2017-12-04"
"146894","http://drgnews.com/","drgnews.com","USA","US-SD","en","United States","video_broadcast","","","7.91","2017-12-04"
"663027","http://www.edgemonttribune.com/","Edgemont Herald Tribune","USA","US-SD","en","United States","print_native","","","0.66","2018-01-08"
"663028","http://www.faulkcountyrecord.com/","Faulk County Record","USA","US-SD","en","United States","print_native","","","0.14","2017-11-06"
"663030","http://www.freemansd.com/","Freeman Courier","USA","US-SD","en","United States","print_native","","","2.2","2017-12-04"
"285965","http://www.lakotacountrytimes.com/","Front Page | www.lakotacountrytimes.com | Lakota Country Times","USA","US-SD","en","United States","print_native","","","1.44","2016-06-13"
"663045","http://www.grantcountyreview.com/","Grant County Review","USA","US-SD","en","United States","print_native","","","0.0","2018-03-26"
"663034","http://397news.com/","Groton Independent","USA","US-SD","en","","print_native","","","0.0","2018-04-09"
"663035","http://www.smalltownpapers.com/newspapers/newspaper.php?id=152","Hartford Area News","USA","US-SD","en","","print_native","","","0.0","2017-12-04"
"656886","http://www.ncppub.com/pages/?cat=62","History in the making","USA","US-SD","en","United States","print_native","","","1.04","2017-11-27"
"663036","http://rapidcityjournal.com/news/local/communities/hot-springs/","Hot Springs Star","USA","US-SD","en","United States","print_native","","","1.63","2018-10-08"
"655209","http://www.smalltownpapers.com/newspapers/newspaper.php?id=184","Humboldt Journal - United States","USA","US-SD","en","","print_native","","","0.0","2017-12-04"
"663043","http://mennohutchinsonherald.blogspot.com/","Hutchinson Herald, Menno, South Dakota","USA","US-SD","en","United States","print_native","","","0.0","2017-07-17"
"663060","http://www.kbhbradio.com/","KBHB","USA","US-SD","","","video_broadcast","","","0.0","2018-02-19"
"663016","http://www.brookingsradio.com/","KBRK","USA","US-SD","en","United States","video_broadcast","","","3.73","2017-12-04"
"29632","http://www.kdlt.com#spider","kdlt.com","USA","US-SD","en","United States","video_broadcast","","","0.0","2017-03-13"
"96014","http://kelo.com/#spider","kelo.com","USA","US-SD","en","United States","video_broadcast","","","6.58","2015-08-24"
"91060","http://www.keloland.com/#spider","keloland.com","USA","US-SD","en","United States","video_broadcast","","","39.13","2019-09-23"
"663049","http://www.1490korn.com/","KORN","USA","US-SD","en","United States","video_broadcast","","","49.78","2018-10-29"
"152133","http://kotaradio.com/","kotaradio.com","USA","US-SD","en","United States","video_broadcast","","","45.47","2017-12-11"
"265945","http://kotatv.com/","kotatv.com","USA","US-SD","en","United States","video_broadcast","","","0.9","2017-07-10"
"663010","http://www.hubcityradio.com/","KSDN","USA","US-SD","en","United States","video_broadcast","","","11.94","2017-12-11"
"139899","http://ksfy.com/","ksfy.com","USA","US-SD","en","United States","video_broadcast","","","0.02","2014-12-22"
"320717","http://ksoo.com/","ksoo.com","USA","US-SD","en","United States","video_broadcast","","","9.67","2017-12-11"
"663067","http://www.gowatertown.net/","KWAT","USA","US-SD","en","United States","video_broadcast","","","11.79","2017-12-11"
"663037","http://www.lakeprestontimes.net/","Lake Preston Times","USA","US-SD","","","print_native","","","0.0","2018-01-15"
"650029","http://www.leadercourier-times.com/","leadercourier-times.com","USA","US-SD","en","United States","print_native","","","2.88","2017-09-04"
"663039","http://www.lemmonleader.net/","Lemmon Leader","USA","US-SD","en","","print_native","","","0.0","2017-12-04"
"663040","http://www.lennoxnews.com/","Lennox Independent","USA","US-SD","en","United States","print_native","","","0.18","2017-06-26"
"663054","http://www.lcherald.com/news.php","Lyman County Herald","USA","US-SD","en","","print_native","","","0.0","2020-04-29"
"663041","http://andersonpublications.com/newspapers/marion-record/","Marion Record","USA","US-SD","","","print_native","","","0.0","2015-05-18"
"663015","http://www.marshallcountyjournal.com/","Marshall County Journal","USA","US-SD","en","United States","print_native","","","0.12","2017-11-27"
"663061","http://rapidcityjournal.com/news/local/communities/sturgis/","Meade County Times Tribune","USA","US-SD","en","United States","print_native","","","2.23","2017-10-23"
"663070","http://www.mellettecountynews.com/","Mellette County News","USA","US-SD","en","","print_native","","","0.0","2014-10-27"
"663047","https://themillerpress.com/","Miller Press","USA","US-SD","","","print_native","","","0.0","2020-04-29"
"663075","http://www.missourivalleyshopper.com/","Missouri Valley Shopper","USA","US-SD","en","","print_native","","","0.0","2017-12-04"
"32194","http://www.mitchellrepublic.com#spider","mitchellrepublic.com","USA","US-SD","en","United States","print_native","","","25.72","2014-09-29"
"663050","http://www.mobridgetribune.com/","Mobridge Tribune","USA","US-SD","en","United States","print_native","","","1.66","2018-10-01"
"663051","http://andersonpublications.com/newspapers/montrose-herald/","Montrose Herald","USA","US-SD","","","print_native","","","0.0","2015-05-18"
"663029","http://www.moodycountyenterprise.com/v2_main_page.php","Moody County Enterprise","USA","US-SD","en","United States","print_native","","","0.0","2017-02-27"
